Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed,Max Wind Speed
Sembawang,1991,3,31,0,,,,27,31.4,22.6,7.8,
Sembawang,1991,4,1,9.2,,,,25.9,30.2,22.9,9.1,
Sembawang,1991,4,2,0,,,,27.3,32.8,22.5,14.5,
Sembawang,1991,4,3,8.7,,,,26.5,32.2,23.4,6.2,
Sembawang,1991,4,4,1.4,,,,26.2,32.5,23.5,7.2,
Sembawang,1991,4,5,0.1,,,,26.9,32.9,22.7,6.9,
Sembawang,1991,4,6,0,,,,27.7,32,24.2,7.1,
Sembawang,1991,4,7,22.3,,,,27.5,33.4,24,3.7,
Sembawang,1991,4,8,0,,,,27.9,34.3,23.8,8.1,
Sembawang,1991,4,9,1.5,,,,27.5,34.2,23.5,3.4,
Sembawang,1991,4,10,27.4,,,,26.6,34.5,23,7.4,
Sembawang,1991,4,11,63.2,,,,27,33.6,23.2,6.5,
Sembawang,1991,4,12,11.6,,,,27.1,33.6,23,3.3,
Sembawang,1991,4,13,7.8,,,,27.4,33.5,23.7,3.2,
Sembawang,1991,4,14,8.2,,,,,33.5,24,2.4,
Sembawang,1991,4,15,6.1,,,,,33.3,23.6,6.2,
Sembawang,1991,4,16,2.8,,,,27,31.5,24.1,3.3,
Sembawang,1991,4,17,0,,,,26.9,30.3,23.2,6.4,
Sembawang,1991,4,18,2.8,,,,26.3,32.1,23.8,6.1,
Sembawang,1991,4,19,14.3,,,,27.4,33,22.9,7.3,
Sembawang,1991,4,20,0,,,,27.5,31.5,24.4,4.5,
Sembawang,1991,4,21,0,,,,26.9,33.1,24.9,6.8,
Sembawang,1991,4,22,0,,,,27.3,31.7,23.6,13.3,
Sembawang,1991,4,23,4.9,,,,26.7,32.3,23.5,7.8,
Sembawang,1991,4,24,3.6,,,,27.8,33.2,22.7,7.4,
Sembawang,1991,4,25,0,,,,27.3,31.7,25.1,4.7,
Sembawang,1991,4,26,2,,,,26.5,30.4,24.1,5.7,
Sembawang,1991,4,27,0,,,,28.6,33.5,24.1,8.2,
Sembawang,1991,4,28,0,,,,27.8,33.6,24.3,8.7,
Sembawang,1991,4,29,24.8,,,,27.1,33.5,23.7,7.8,
Sembawang,1991,4,30,0.8,,,,27,32.3,23.6,4.6,
Sembawang,1991,5,1,1.2,,,,28.1,33.7,23.8,7.6,
Sembawang,1991,5,2,0,,,,28,33.3,23.7,6.3,
Sembawang,1991,5,3,1.7,,,,28.9,34,24.7,8.5,
Sembawang,1991,5,4,37.6,,,,26.8,29.4,23.5,5.3,
Sembawang,1991,5,5,1,,,,27.1,31,23.8,7.6,
Sembawang,1991,5,6,0.1,,,,27.7,32.1,24.5,7.7,
Sembawang,1991,5,7,3.1,,,,26.4,29.2,24.1,5.2,
Sembawang,1991,5,8,0,,,,27.5,31.6,24.7,6.8,
Sembawang,1991,5,9,3.8,,,,26.6,32.6,24.9,7.1,
Sembawang,1991,5,10,16,,,,26.5,33.4,23.5,10.3,
Sembawang,1991,5,11,2.4,,,,27.8,33.6,23.2,11.6,
Sembawang,1991,5,12,0,,,,27.4,31.4,24.2,8.3,
Sembawang,1991,5,13,0,,,,28.2,33.3,24,6.9,
Sembawang,1991,5,14,0.5,,,,27,32,24.4,7.4,
Sembawang,1991,5,15,0,,,,26.9,33.2,23.6,5.6,
