Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2019,6,1,0,—,—,—,29.1,31.8,25.4,7.9,31.3
Paya Lebar,2019,6,2,13.7,—,—,—,29.5,33.5,25.9,8.3,25.9
Paya Lebar,2019,6,3,35.2,—,—,—,27.6,31.5,25.2,5.8,27.7
Paya Lebar,2019,6,4,0,—,—,—,29,32,26.4,5,22.3
Paya Lebar,2019,6,5,0,—,—,—,30,33.1,27.7,6.8,27.7
Paya Lebar,2019,6,6,5.5,—,—,—,28,29.4,24,5.8,31.3
Paya Lebar,2019,6,7,43.5,—,—,—,26.7,27.6,25,4.7,31.3
Paya Lebar,2019,6,8,0.1,—,—,—,27.9,30.1,26.2,6.1,25.9
Paya Lebar,2019,6,9,0.3,—,—,—,29.3,32.5,26.8,7.9,27.7
Paya Lebar,2019,6,10,0,—,—,—,30.3,32.5,27.7,9.4,27.7
Paya Lebar,2019,6,11,29.4,—,—,—,30,32.7,23.7,7.9,51.8
Paya Lebar,2019,6,12,34.4,—,—,—,27.9,30.1,24.6,13.3,37.1
Paya Lebar,2019,6,13,1.5,—,—,—,29.2,31.1,27.3,9,27.7
Paya Lebar,2019,6,14,1.4,—,—,—,29.6,32.9,27.3,7.9,33.5
Paya Lebar,2019,6,15,0,—,—,—,29.7,32.7,27.7,8.3,31.3
Paya Lebar,2019,6,16,0,—,—,—,30.2,32.5,28.3,13.3,29.5
Paya Lebar,2019,6,17,0.3,—,—,—,29.8,31.9,25.2,9.7,25.9
Paya Lebar,2019,6,18,14.4,—,—,—,27.9,29.5,25.7,6.5,24.1
Paya Lebar,2019,6,19,2.2,—,—,—,28.4,30.3,26,5.4,20.5
Paya Lebar,2019,6,20,0.5,—,—,—,29.7,33.9,26.3,8.3,29.5
Paya Lebar,2019,6,21,9.5,—,—,—,28.7,32.7,25.4,8.6,29.5
Paya Lebar,2019,6,22,15.7,—,—,—,27.8,31.2,23.6,8.6,42.5
Paya Lebar,2019,6,23,0,—,—,—,29.5,33,26.2,11.2,29.5
Paya Lebar,2019,6,24,0.1,—,—,—,29.8,32.8,27.6,9,37.1
Paya Lebar,2019,6,25,0,—,—,—,30.3,33.2,27,12.2,33.5
Paya Lebar,2019,6,26,3.2,—,—,—,28.8,31,26,9,37.1
Paya Lebar,2019,6,27,0,—,—,—,29.7,32.7,27.2,11.2,27.7
Paya Lebar,2019,6,28,0,—,—,—,30.4,33,28.3,11.2,27.7
Paya Lebar,2019,6,29,7.1,—,—,—,29.3,31.7,26.5,8.6,27.7
Paya Lebar,2019,6,30,0,—,—,—,29.5,32.2,27.7,9.7,38.9
