Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2011,2,1,2,—,—,—,25.4,28,23.3,12.3,46.8
Pasir Panjang,2011,2,2,2.6,—,—,—,26.1,30.2,24,12.7,41
Pasir Panjang,2011,2,3,0,—,—,—,26.4,29.9,24.5,16.1,41.4
Pasir Panjang,2011,2,4,0.6,—,—,—,26.1,29.4,24.5,11.9,31
Pasir Panjang,2011,2,5,3.6,—,—,—,26.5,30.9,24.2,13.1,35.6
Pasir Panjang,2011,2,6,0,—,—,—,26.7,31,24.2,15.3,38.5
Pasir Panjang,2011,2,7,0,—,—,—,26.5,30.4,24,13.9,37.8
Pasir Panjang,2011,2,8,0,—,—,—,26.5,30.9,23.9,10.8,25.9
Pasir Panjang,2011,2,9,0,—,—,—,27,31.1,24.5,9,23
Pasir Panjang,2011,2,10,0,—,—,—,27.6,31.5,25.1,9.1,24.5
Pasir Panjang,2011,2,11,1,—,—,—,26.9,31.8,24.6,11.4,32.8
Pasir Panjang,2011,2,12,0,—,—,—,27,31.9,24.6,11.1,43.6
Pasir Panjang,2011,2,13,0,—,—,—,27.7,32.6,24.9,13.1,33.8
Pasir Panjang,2011,2,14,0,—,—,—,27.7,32.8,24.7,13.4,34.6
Pasir Panjang,2011,2,15,8.2,—,—,—,26.5,31.5,23.4,10.9,37.8
Pasir Panjang,2011,2,16,0,—,—,—,27.5,30.9,25.3,12.3,36
Pasir Panjang,2011,2,17,0,—,—,—,28.2,33.1,25.7,11.2,32.8
Pasir Panjang,2011,2,18,0,—,—,—,27.6,30.7,25.8,11.6,42.1
Pasir Panjang,2011,2,19,0.4,—,—,—,27.1,30.8,25.7,11.2,28.4
Pasir Panjang,2011,2,20,0,—,—,—,27.6,30.1,25.8,11.3,29.2
Pasir Panjang,2011,2,21,0,—,—,—,28,31.9,25.2,16.9,46.1
Pasir Panjang,2011,2,22,17.6,—,—,—,27,31.9,23.8,12.1,37.8
Pasir Panjang,2011,2,23,15.2,—,—,—,26.8,31.4,24.9,12.4,33.1
Pasir Panjang,2011,2,24,4.2,—,—,—,26.9,31.3,25.1,14,37.4
Pasir Panjang,2011,2,25,6,—,—,—,26.8,31.9,23.6,13.9,35.3
Pasir Panjang,2011,2,26,22,—,—,—,26.6,32,24.1,12.5,37.8
Pasir Panjang,2011,2,27,0,—,—,—,27.4,30.8,25.2,15,36.4
Pasir Panjang,2011,2,28,0,—,—,—,27.1,30.9,24.5,11.9,32.4
