Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),1985,11,1,0.6,—,—,—,—,—,—,—,—
Jurong (West),1985,11,2,0.2,—,—,—,—,—,—,—,—
Jurong (West),1985,11,3,2.9,—,—,—,—,—,—,—,—
Jurong (West),1985,11,4,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,5,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,6,5.9,—,—,—,—,—,—,—,—
Jurong (West),1985,11,7,6.2,—,—,—,—,—,—,—,—
Jurong (West),1985,11,8,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,9,11.6,—,—,—,—,—,—,—,—
Jurong (West),1985,11,10,0.8,—,—,—,—,—,—,—,—
Jurong (West),1985,11,11,0.3,—,—,—,—,—,—,—,—
Jurong (West),1985,11,12,5.5,—,—,—,—,—,—,—,—
Jurong (West),1985,11,13,0.1,—,—,—,—,—,—,—,—
Jurong (West),1985,11,14,30.9,—,—,—,—,—,—,—,—
Jurong (West),1985,11,15,12,—,—,—,—,—,—,—,—
Jurong (West),1985,11,16,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,17,5.3,—,—,—,—,—,—,—,—
Jurong (West),1985,11,18,0.2,—,—,—,—,—,—,—,—
Jurong (West),1985,11,19,17.2,—,—,—,—,—,—,—,—
Jurong (West),1985,11,20,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,21,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,22,18.6,—,—,—,—,—,—,—,—
Jurong (West),1985,11,23,91.5,—,—,—,—,—,—,—,—
Jurong (West),1985,11,24,17.1,—,—,—,—,—,—,—,—
Jurong (West),1985,11,25,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,26,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,27,1.9,—,—,—,—,—,—,—,—
Jurong (West),1985,11,28,7.5,—,—,—,—,—,—,—,—
Jurong (West),1985,11,29,0,—,—,—,—,—,—,—,—
Jurong (West),1985,11,30,0.8,—,—,—,—,—,—,—,—
