Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,1992,8,1,0,—,—,—,26.4,31.1,24.5,9,—
Tengah,1992,8,2,0,—,—,—,27,32.3,23.1,9.7,—
Tengah,1992,8,3,18,—,—,—,25.8,29.6,24,9.3,—
Tengah,1992,8,4,0,—,—,—,27.2,32.3,22.5,8.2,—
Tengah,1992,8,5,0,—,—,—,28.1,32.5,23.8,9.4,—
Tengah,1992,8,6,0,—,—,—,28.2,33,23.6,11.3,—
Tengah,1992,8,7,0,—,—,—,28,33.2,22.6,6.9,—
Tengah,1992,8,8,0,—,—,—,28.1,33.6,22.9,5.7,—
Tengah,1992,8,9,48.5,—,—,—,25.3,29.8,22.4,9.8,—
Tengah,1992,8,10,0,—,—,—,27.6,32,23.7,8.7,—
Tengah,1992,8,11,0,—,—,—,27.2,31.5,24,5.9,—
Tengah,1992,8,12,0,—,—,—,27.4,31.4,23.5,7.3,—
Tengah,1992,8,13,9.3,—,—,—,26,31.8,23.8,10.2,—
Tengah,1992,8,14,0,—,—,—,26.4,31.6,22.4,9.7,—
Tengah,1992,8,15,8.3,—,—,—,26.3,32.1,22.6,10.1,—
Tengah,1992,8,16,12.4,—,—,—,26.4,31,22.6,11,—
Tengah,1992,8,17,0.5,—,—,—,25.5,28.5,22,12,—
Tengah,1992,8,18,0,—,—,—,27.5,31.8,23.8,10.2,—
Tengah,1992,8,19,4.9,—,—,—,26.1,30,23.8,9.3,—
Tengah,1992,8,20,10.3,—,—,—,27.2,31.5,22.7,8.4,—
Tengah,1992,8,21,1.7,—,—,—,27.2,31.4,23.9,5.7,—
Tengah,1992,8,22,0,—,—,—,27.8,32.7,22.6,7.3,—
Tengah,1992,8,23,1.2,—,—,—,27.7,32.5,23.6,8.8,—
Tengah,1992,8,24,0,—,—,—,26.7,30.7,22.7,10.6,—
Tengah,1992,8,25,0,—,—,—,28.3,33.3,24.5,15.5,—
Tengah,1992,8,26,0,—,—,—,27.6,32.6,23.7,12.8,—
Tengah,1992,8,27,0,—,—,—,28.1,32.4,24.4,12.8,—
Tengah,1992,8,28,0,—,—,—,28.7,33.4,24.2,14.8,—
Tengah,1992,8,29,11,—,—,—,28.2,33.2,24.5,14.7,—
Tengah,1992,8,30,0,—,—,—,27.7,33.2,22.4,10,—
Tengah,1992,8,31,0,—,—,—,28.6,34,25,11.7,—
