Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2023,12,1,    17.4,     2.8,    20.2,    47.4,    26.4,    31.7,    23.7,     6.9,    37.0
Changi,2023,12,2,     0.8,     0.8,     0.8,     0.8,    27.4,    31.4,    25.2,     8.0,    35.2
Changi,2023,12,3,     3.8,     2.0,     2.0,     2.0,    26.3,    28.4,    25.2,     6.7,    44.4
Changi,2023,12,4,     0.0,     0.0,     0.0,     0.0,    27.4,    30.4,    25.2,     9.1,    42.6
Changi,2023,12,5,     2.0,     1.2,     1.2,     2.0,    27.7,    32.8,    25.3,     5.9,    37.0
Changi,2023,12,6,     4.2,     4.0,     4.0,     4.0,    26.7,    31.9,    24.4,     6.4,    38.9
Changi,2023,12,7,     1.2,     1.0,     1.2,     1.2,    27.3,    32.6,    25.2,     6.3,    42.6
Changi,2023,12,8,     0.0,     0.0,     0.0,     0.0,    28.4,    32.4,    25.8,    12.4,    35.2
Changi,2023,12,9,     5.8,     5.8,     5.8,     5.8,    27.6,    31.5,    25.7,    11.1,    37.0
Changi,2023,12,10,     0.0,     0.0,     0.0,     0.0,    28.0,    30.8,    26.3,     8.9,    27.8
Changi,2023,12,11,    10.0,     6.8,     7.2,     7.2,    27.4,    32.6,    25.8,    10.0,    40.7
Changi,2023,12,12,     3.0,     2.6,     2.8,     2.8,    26.7,    30.3,    25.3,     8.3,    27.8
Changi,2023,12,13,     0.0,     0.0,     0.0,     0.0,    27.8,    32.2,    24.9,     8.0,    33.3
Changi,2023,12,14,    57.6,    26.4,    37.0,    53.2,    27.1,    32.4,    23.4,     7.3,    31.5
Changi,2023,12,15,     0.4,     0.4,     0.4,     0.4,    27.7,    31.8,    25.0,     8.3,    29.6
Changi,2023,12,16,     0.0,     0.0,     0.0,     0.0,    28.1,    31.7,    25.9,    10.1,    29.6
Changi,2023,12,17,     0.0,     0.0,     0.0,     0.0,    28.0,    31.9,    25.9,    14.7,    38.9
Changi,2023,12,18,     0.0,     0.0,     0.0,     0.0,    28.3,    32.0,    25.7,    13.0,    37.0
Changi,2023,12,19,     0.4,     0.2,     0.2,     0.2,    27.2,    30.9,    25.7,     8.9,    37.0
Changi,2023,12,20,     2.4,     2.2,     2.2,     2.2,    27.6,    32.1,    25.7,    10.7,    42.6
Changi,2023,12,21,     7.6,     4.8,     4.8,     4.8,    27.0,    31.7,    25.1,    12.4,    35.2
Changi,2023,12,22,     8.4,     4.0,     5.6,     7.6,    27.4,    30.7,    25.0,    16.8,    46.3
Changi,2023,12,23,     4.4,     1.6,     2.0,     2.2,    26.0,    27.4,    25.1,     6.9,    29.6
Changi,2023,12,24,     0.0,     0.0,     0.0,     0.0,    27.8,    31.1,    25.1,     8.8,    27.8
Changi,2023,12,25,    22.6,     8.4,     8.4,     8.4,    26.7,    31.1,    24.2,    10.0,    53.7
Changi,2023,12,26,     7.6,     6.8,     7.2,     7.2,    26.9,    31.1,    25.0,    11.5,    40.7
Changi,2023,12,27,    22.2,     9.0,    11.0,    16.0,    26.3,    28.6,    24.4,    10.3,    42.6
Changi,2023,12,28,    32.4,    21.8,    24.6,    26.0,    27.1,    30.8,    25.0,     8.4,    40.7
Changi,2023,12,29,     8.4,     6.2,     9.6,    10.6,    27.6,    31.2,    24.9,    11.6,    31.5
Changi,2023,12,30,     0.2,     0.2,     0.2,     0.2,    28.3,    32.0,    26.1,    13.1,    38.9
Changi,2023,12,31,    33.4,     9.2,    15.2,    18.2,    26.1,    28.1,    24.4,     9.6,    40.7
