Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2005,4,1,6.1,—,—,—,27.8,32.8,25,5.8,—
Seletar,2005,4,2,7.3,—,—,—,26.2,29.2,24.3,7.2,—
Seletar,2005,4,3,2.1,—,—,—,28.2,34,25.2,12.9,—
Seletar,2005,4,4,40,—,—,—,25.2,27,23.1,8.1,—
Seletar,2005,4,5,5.7,—,—,—,26.9,32.6,24.4,10.2,—
Seletar,2005,4,6,0,—,—,—,27.5,32.4,23.9,12.6,—
Seletar,2005,4,7,0.6,—,—,—,28.6,34.3,24.9,6,—
Seletar,2005,4,8,10.6,—,—,—,27.8,33.3,25.2,8,—
Seletar,2005,4,9,0,—,—,—,27.4,32.7,23,9.7,—
Seletar,2005,4,10,0,—,—,—,28.9,35.3,24.4,8.2,—
Seletar,2005,4,11,11.2,—,—,—,26.8,31.4,23.6,8.9,—
Seletar,2005,4,12,0.3,—,—,—,28.3,34.7,23,6.3,—
Seletar,2005,4,13,65.5,—,—,—,28.4,34.6,24.9,8.1,—
Seletar,2005,4,14,0,—,—,—,28.3,32.7,25,8.9,—
Seletar,2005,4,15,0,—,—,—,27.8,32.6,24,5.2,—
Seletar,2005,4,16,8.8,—,—,—,27.6,33.7,24.6,8.2,—
Seletar,2005,4,17,0,—,—,—,27.8,31.3,25.3,8.7,—
Seletar,2005,4,18,33.1,—,—,—,26.7,31.1,25,5.9,—
Seletar,2005,4,19,0,—,—,—,28.9,34,25,12.1,—
Seletar,2005,4,20,0,—,—,—,28.6,34.2,23.5,8.5,—
Seletar,2005,4,21,10.1,—,—,—,28,32.3,24.6,6.4,—
Seletar,2005,4,22,0,—,—,—,28.9,33.6,25,7.4,—
Seletar,2005,4,23,0,—,—,—,29.3,34.3,25.4,5.9,—
Seletar,2005,4,24,47.7,—,—,—,28.2,33,24.7,7,—
Seletar,2005,4,25,0,—,—,—,29.4,34.4,25.3,5.7,—
Seletar,2005,4,26,0,—,—,—,29.8,34.3,26.5,6.2,—
Seletar,2005,4,27,0,—,—,—,29.9,35,26.9,6.6,—
Seletar,2005,4,28,0,—,—,—,29.2,34.2,26.9,5.3,—
Seletar,2005,4,29,0,—,—,—,30.2,34.4,27.2,6.5,—
Seletar,2005,4,30,0,—,—,—,30.2,35,26.8,6.6,—
