Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2023,2,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong (West),2023,2,2,    25.2,    12.2,    18.4,    24.4,    25.8,    32.2,    22.9,     8.3,    40.4
Jurong (West),2023,2,3,    24.8,    20.2,    22.6,    24.6,    26.0,    32.3,    21.8,     6.5,    30.2
Jurong (West),2023,2,4,     4.0,     1.0,     1.8,     2.8,    24.4,    27.0,    23.5,     7.6,    33.9
Jurong (West),2023,2,5,    21.4,    16.2,    19.4,    21.0,    25.5,    32.5,    23.5,     5.9,    23.3
Jurong (West),2023,2,6,     0.0,     0.0,     0.0,     0.0,    25.5,    29.4,    23.3,     7.0,    27.4
Jurong (West),2023,2,7,     0.0,     0.0,     0.0,     0.0,    26.7,    32.2,    23.3,     6.7,    24.1
Jurong (West),2023,2,8,     2.4,     1.8,     2.2,     2.2,    26.6,    32.0,    24.4,     8.1,    27.0
Jurong (West),2023,2,9,     1.0,     0.8,     0.8,     0.8,    26.8,    31.2,    24.7,     6.9,    23.3
Jurong (West),2023,2,10,     2.0,     1.8,     1.8,     2.0,    26.9,    32.3,    24.1,     7.0,    22.4
Jurong (West),2023,2,11,     0.8,     0.6,     0.6,     0.6,    26.8,    31.9,    24.8,     8.9,    35.2
Jurong (West),2023,2,12,    29.4,    13.6,    16.6,    17.6,    25.2,    32.4,    21.9,     6.2,    25.6
Jurong (West),2023,2,13,     0.0,     0.0,     0.0,     0.0,    26.7,    32.6,    23.4,     6.4,    20.9
Jurong (West),2023,2,14,     0.4,     0.4,     0.4,     0.4,    26.9,    32.6,    24.7,     6.8,    21.7
Jurong (West),2023,2,15,    24.4,    14.6,    19.8,    24.2,    25.7,    29.7,    21.3,     8.1,    40.0
Jurong (West),2023,2,16,     0.0,     0.0,     0.0,     0.0,    26.5,    30.9,    23.2,     7.0,    27.4
Jurong (West),2023,2,17,    14.6,     8.2,    12.8,    14.4,    25.8,    30.3,    23.5,     7.4,    28.9
Jurong (West),2023,2,18,     3.2,     2.0,     3.2,     3.2,    27.0,    32.8,    24.0,     8.0,    30.2
Jurong (West),2023,2,19,     3.0,     1.0,     1.8,     2.8,    26.9,    32.5,    24.6,     8.2,    29.8
Jurong (West),2023,2,20,     6.8,     3.8,     5.0,     6.0,    26.0,    30.6,    23.9,     7.2,    38.9
Jurong (West),2023,2,21,     0.0,     0.0,     0.0,     0.0,    26.8,    31.5,    23.7,     9.5,    35.0
Jurong (West),2023,2,22,     4.8,     4.6,     4.8,     4.8,    26.6,    30.4,    24.8,     8.2,    28.5
Jurong (West),2023,2,23,     0.0,     0.0,     0.0,     0.0,    26.9,    31.1,    24.4,     9.9,    32.8
Jurong (West),2023,2,24,     0.0,     0.0,     0.0,     0.0,    27.4,    32.0,    24.9,    11.0,    36.7
Jurong (West),2023,2,25,     0.0,     0.0,     0.0,     0.0,    26.7,    31.9,    24.0,     9.6,    34.3
Jurong (West),2023,2,26,     0.0,     0.0,     0.0,     0.0,    26.9,    31.4,    24.1,    14.4,    42.8
Jurong (West),2023,2,27,     1.2,     0.6,     0.6,     0.6,    26.1,    30.4,    23.9,    10.7,    43.2
Jurong (West),2023,2,28,   129.8,    26.0,    41.8,    65.4,    24.0,    26.2,    22.0,     7.4,    45.0
