Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sembawang,1993,12,1,25.2,—,—,—,24.8,30.4,23.2,6.8,—
Sembawang,1993,12,2,7.4,—,—,—,25.4,31.6,22.5,5.7,—
Sembawang,1993,12,3,0,—,—,—,26.6,30.7,23.5,7.2,—
Sembawang,1993,12,4,6.3,—,—,—,27.2,31.5,24,4.3,—
Sembawang,1993,12,5,46.2,—,—,—,25.6,31.3,23.9,4.6,—
Sembawang,1993,12,6,25.3,—,—,—,27.4,33.1,22.7,6.3,—
Sembawang,1993,12,7,0,—,—,—,26.7,31,23.5,7.8,—
Sembawang,1993,12,8,20.3,—,—,—,25.9,32.1,23,7.7,—
Sembawang,1993,12,9,0,—,—,—,26,31.5,22.4,5,—
Sembawang,1993,12,10,2.9,—,—,—,27,33.5,24.1,8.6,—
Sembawang,1993,12,11,0,—,—,—,26.2,30.4,22.5,6.2,—
Sembawang,1993,12,12,19.4,—,—,—,27,33.4,23.5,7.1,—
Sembawang,1993,12,13,16.4,—,—,—,26,31.3,23.5,6,—
Sembawang,1993,12,14,7.2,—,—,—,26.5,31.2,23.8,7,—
Sembawang,1993,12,15,0.9,—,—,—,27.3,32.5,23.2,8,—
Sembawang,1993,12,16,0,—,—,—,26.9,32.2,22.8,8.9,—
Sembawang,1993,12,17,13.5,—,—,—,26.3,31,23.6,6.9,—
Sembawang,1993,12,18,0.3,—,—,—,25.6,28.5,24,5,—
Sembawang,1993,12,19,0,—,—,—,25.8,29.5,23.8,6.1,—
Sembawang,1993,12,20,23,—,—,—,26.4,32.8,23.5,8.5,—
Sembawang,1993,12,21,3,—,—,—,26.3,30,23.4,5.8,—
Sembawang,1993,12,22,0.3,—,—,—,25.6,28.6,23.6,6.9,—
Sembawang,1993,12,23,48.2,—,—,—,24.4,25,23.5,4.7,—
Sembawang,1993,12,24,10.3,—,—,—,24.4,26.1,23.5,7.5,—
Sembawang,1993,12,25,0.2,—,—,—,25.5,28.7,23,8.1,—
Sembawang,1993,12,26,0,—,—,—,26.4,30.7,23.4,10.9,—
Sembawang,1993,12,27,0,—,—,—,25.5,29.2,22.5,12.4,—
Sembawang,1993,12,28,0,—,—,—,26,29.9,22.8,12.7,—
Sembawang,1993,12,29,0,—,—,—,25.8,28.9,23.8,11.8,—
Sembawang,1993,12,30,1.2,—,—,—,25.8,29.8,23.6,9.4,—
Sembawang,1993,12,31,0.9,—,—,—,25.7,29.9,22.8,11,—
