Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,1999,1,1,6,—,—,—,—,29.6,22.6,7.8,—
Paya Lebar,1999,1,2,3,—,—,—,—,25.5,23.3,9.6,—
Paya Lebar,1999,1,3,1.9,—,—,—,—,28.4,22.6,12.2,—
Paya Lebar,1999,1,4,4.3,—,—,—,—,30.6,23,7.5,—
Paya Lebar,1999,1,5,22,—,—,—,—,30.7,23.1,6.7,—
Paya Lebar,1999,1,6,27.5,—,—,—,—,31.5,23.8,10.8,—
Paya Lebar,1999,1,7,0.1,—,—,—,—,29.1,23.6,14.7,—
Paya Lebar,1999,1,8,3.2,—,—,—,—,30.1,23.7,12.9,—
Paya Lebar,1999,1,9,19.8,—,—,—,—,30.3,22.6,13.6,—
Paya Lebar,1999,1,10,0.3,—,—,—,—,26.5,22.5,10,—
Paya Lebar,1999,1,11,0,—,—,—,—,31.2,23.6,13.3,—
Paya Lebar,1999,1,12,0,—,—,—,—,32,24.4,11.8,—
Paya Lebar,1999,1,13,0,—,—,—,—,31.6,24.3,13.3,—
Paya Lebar,1999,1,14,0,—,—,—,—,32.1,24.4,12.1,—
Paya Lebar,1999,1,15,0,—,—,—,—,31.1,24.3,16.4,—
Paya Lebar,1999,1,16,0.1,—,—,—,—,31.3,24.4,14.4,—
Paya Lebar,1999,1,17,10.7,—,—,—,—,30.7,23.1,15.3,—
Paya Lebar,1999,1,18,0.8,—,—,—,—,30.1,23.8,16.1,—
Paya Lebar,1999,1,19,4.1,—,—,—,—,29.9,23.6,14.3,—
Paya Lebar,1999,1,20,4.9,—,—,—,—,29,23.6,12.6,—
Paya Lebar,1999,1,21,3.5,—,—,—,—,30.5,23.6,14.6,—
Paya Lebar,1999,1,22,0,—,—,—,—,30.5,23.4,10.7,—
Paya Lebar,1999,1,23,20,—,—,—,—,31.9,23.7,6.8,—
Paya Lebar,1999,1,24,89.1,—,—,—,—,31.7,23.3,9.3,—
Paya Lebar,1999,1,25,0.2,—,—,—,—,28.5,23.7,10,—
Paya Lebar,1999,1,26,0,—,—,—,—,31.8,24,10,—
Paya Lebar,1999,1,27,0,—,—,—,—,31.3,24.5,8.2,—
Paya Lebar,1999,1,28,11.2,—,—,—,—,31.3,24.5,8.8,—
Paya Lebar,1999,1,29,0.4,—,—,—,—,30.6,24.6,6.8,—
Paya Lebar,1999,1,30,0,—,—,—,—,31.2,24.2,6.2,—
Paya Lebar,1999,1,31,0,—,—,—,—,32.5,24.2,8.5,—
