Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,1991,12,1,0,—,—,—,27.2,32.5,23.5,10.1,—
Tengah,1991,12,2,0.7,—,—,—,26.7,31.7,23.1,9.9,—
Tengah,1991,12,3,2.7,—,—,—,25.7,29.8,24,7.9,—
Tengah,1991,12,4,23.5,—,—,—,24,25.9,23,6.7,—
Tengah,1991,12,5,24.6,—,—,—,24.5,28.6,23.1,7.5,—
Tengah,1991,12,6,26,—,—,—,23,24.5,22.3,5.8,—
Tengah,1991,12,7,38.5,—,—,—,23,24.5,22,8.2,—
Tengah,1991,12,8,1.6,—,—,—,24.2,26.7,22.5,8.9,—
Tengah,1991,12,9,0.1,—,—,—,24.8,27.4,22,8,—
Tengah,1991,12,10,1.3,—,—,—,24.5,27.7,22.9,8.7,—
Tengah,1991,12,11,0,—,—,—,26.4,32.1,21.5,7.9,—
Tengah,1991,12,12,21.4,—,—,—,26.2,32.2,23.4,4.7,—
Tengah,1991,12,13,0,—,—,—,26.9,31.4,23.7,9,—
Tengah,1991,12,14,11.2,—,—,—,26.4,31.2,23.1,12,—
Tengah,1991,12,15,47.7,—,—,—,24.6,26.2,22.7,4.3,—
Tengah,1991,12,16,1.6,—,—,—,25.9,29.6,22.9,7.4,—
Tengah,1991,12,17,2.9,—,—,—,25.9,30.5,22.6,8,—
Tengah,1991,12,18,9.2,—,—,—,26,32.6,23.2,7.6,—
Tengah,1991,12,19,1.7,—,—,—,25.5,28.6,23.7,8.5,—
Tengah,1991,12,20,13.7,—,—,—,24.6,27,23.5,9.2,—
Tengah,1991,12,21,5.8,—,—,—,25,28.9,23.1,8.1,—
Tengah,1991,12,22,77.2,—,—,—,24.7,27.7,23.1,5.8,—
Tengah,1991,12,23,45.7,—,—,—,24.5,29.1,22.8,7.3,—
Tengah,1991,12,24,0,—,—,—,25.9,31.9,22.5,4.6,—
Tengah,1991,12,25,1.3,—,—,—,26.5,31.7,23.4,8.1,—
Tengah,1991,12,26,42.8,—,—,—,24.9,29.1,22.9,6.3,—
Tengah,1991,12,27,36.5,—,—,—,26.1,33,22.5,7.6,—
Tengah,1991,12,28,8.6,—,—,—,25.5,31.9,23.1,7.4,—
Tengah,1991,12,29,9.9,—,—,—,24.7,27.6,22.5,9.6,—
Tengah,1991,12,30,10.2,—,—,—,25.5,32.7,22.7,5.7,—
Tengah,1991,12,31,32.5,—,—,—,25.1,30.5,22.6,9,—
