Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,1981,8,1,11.5,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,2,21.8,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,3,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,4,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,5,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,6,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,7,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,8,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,9,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,10,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,11,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,12,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,13,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,14,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,15,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,16,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,17,9.5,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,18,2.7,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,19,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,20,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,21,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,22,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,23,0.6,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,24,17.4,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,25,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,26,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,27,15,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,28,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,29,0,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,30,2.4,—,—,—,—,—,—,—,—
Sentosa Island,1981,8,31,0,—,—,—,—,—,—,—,—
