Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Newton,2022,3,1,     2.0,     2.0,     2.0,     2.0,    27.2,    32.3,    25.2,     6.7,    35.9
Newton,2022,3,2,    11.2,     8.8,     9.4,     9.6,    26.7,    34.0,    23.5,     7.0,    40.4
Newton,2022,3,3,    19.0,    17.8,    18.8,    18.8,    26.8,    33.1,    24.3,     7.1,    65.2
Newton,2022,3,4,     0.2,     0.2,     0.2,     0.2,    27.4,    31.7,    25.0,     7.9,    31.7
Newton,2022,3,5,     2.0,     1.8,     2.0,     2.0,    27.3,    33.5,    24.6,     6.4,    38.9
Newton,2022,3,6,     0.0,     0.0,     0.0,     0.0,    26.8,    31.1,    25.0,     5.5,    26.3
Newton,2022,3,7,     3.4,     1.6,     2.0,     2.4,    27.0,    32.1,    24.3,     6.2,    37.8
Newton,2022,3,8,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Newton,2022,3,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Newton,2022,3,10,    16.6,    11.0,    14.4,    14.8,    27.0,    31.4,    22.2,     7.0,    37.8
Newton,2022,3,11,    18.4,    14.8,    15.4,    15.4,    27.2,    32.5,    23.6,     6.5,    30.2
Newton,2022,3,12,     4.6,     3.6,     3.6,     4.6,    27.6,    33.8,    25.0,     7.3,    35.9
Newton,2022,3,13,     0.0,     0.0,     0.0,     0.0,    28.2,    34.4,    24.8,     7.2,    31.7
Newton,2022,3,14,     0.0,     0.0,     0.0,     0.0,    28.1,    31.7,    26.4,     7.2,    33.2
Newton,2022,3,15,    30.4,    19.8,    25.2,    28.4,-,-,-,-,-
Newton,2022,3,16,-,-,-,-,-,-,-,-,-
Newton,2022,3,17,     3.8,     3.4,     3.8,     3.8,-,-,-,-,-
Newton,2022,3,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Newton,2022,3,19,     0.0,     0.0,     0.0,     0.0,    29.4,    34.8,    25.9,     7.6,    30.9
Newton,2022,3,20,     0.0,     0.0,     0.0,     0.0,    28.4,    31.6,    25.1,     7.7,    31.3
Newton,2022,3,21,    16.4,     9.2,    13.2,    15.8,    28.2,    32.5,    22.1,     6.8,    41.1
Newton,2022,3,22,     9.2,     9.2,     9.2,     9.2,    28.1,    31.3,    24.0,     9.2,    36.3
Newton,2022,3,23,     0.8,     0.6,     0.8,     0.8,    28.4,    32.9,    26.4,     7.2,    34.6
Newton,2022,3,24,     1.6,     1.0,     1.0,     1.6,    28.0,    34.3,    25.6,     6.3,    29.1
Newton,2022,3,25,     1.6,     1.4,     1.4,     1.4,    28.3,    32.6,    26.4,     7.1,    37.0
Newton,2022,3,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Newton,2022,3,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Newton,2022,3,28,    16.6,    11.6,    15.2,    16.4,    28.0,    34.2,    24.9,     6.3,    47.8
Newton,2022,3,29,    40.4,    19.8,    25.8,    40.4,-,-,-,-,-
Newton,2022,3,30,     0.0,     0.0,     0.0,     0.0,    28.9,    33.8,    25.8,     6.5,    29.4
Newton,2022,3,31,    16.4,    16.0,    16.4,    16.4,    27.8,    32.1,    24.0,     6.4,    43.5
