Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2020,5,1,    28.8,    10.2,    15.0,    16.4,    27.5,    30.1,    25.3,    19.3,    58.7
Pasir Panjang,2020,5,2,     0.0,     0.0,     0.0,     0.8,    28.9,    31.3,    26.5,    20.9,    45.7
Pasir Panjang,2020,5,3,     0.2,     0.2,     0.2,     0.2,    28.9,    31.8,    26.1,    20.5,    55.0
Pasir Panjang,2020,5,4,    16.6,    10.4,    15.0,    15.8,    28.2,    30.0,    25.4,    20.4,    38.5
Pasir Panjang,2020,5,5,     0.0,     0.0,     0.0,     0.0,    29.0,    32.4,    26.8,    20.7,    45.4
Pasir Panjang,2020,5,6,    22.4,    17.2,    22.0,    22.4,    28.5,    30.2,    24.2,    18.5,    63.3
Pasir Panjang,2020,5,7,     0.0,     0.0,     0.0,     0.0,    30.1,    32.6,    28.7,    16.3,    43.5
Pasir Panjang,2020,5,8,    17.0,     9.2,    13.2,    15.4,    29.1,    31.4,    25.1,    15.7,    66.7
Pasir Panjang,2020,5,9,     0.0,     0.0,     0.0,     0.0,    30.6,    32.8,    28.8,    12.0,    37.4
Pasir Panjang,2020,5,10,     0.0,     0.0,     0.0,     0.0,    30.0,    32.2,    28.8,    13.0,    35.6
Pasir Panjang,2020,5,11,     2.6,     2.4,     2.4,     2.4,    29.4,    31.2,    26.4,    13.8,    35.6
Pasir Panjang,2020,5,12,     0.0,     0.0,     0.0,     0.0,    30.4,    32.6,    29.1,    13.2,    34.6
Pasir Panjang,2020,5,13,     7.6,     5.2,     5.6,     7.6,    28.5,    30.5,    25.3,    20.0,    75.2
Pasir Panjang,2020,5,14,     0.0,     0.0,     0.0,     0.0,    29.2,    32.1,    27.1,    19.4,    36.7
Pasir Panjang,2020,5,15,     0.0,     0.0,     0.0,     0.0,    29.8,    32.4,    28.1,    16.5,    36.7
Pasir Panjang,2020,5,16,     0.0,     0.0,     0.0,     0.0,    30.3,    32.7,    29.3,    10.8,    31.7
Pasir Panjang,2020,5,17,    63.8,    38.0,    49.8,    49.8,    28.7,    31.6,    24.7,    17.7,    84.6
Pasir Panjang,2020,5,18,     1.2,     0.8,     1.6,     3.0,    29.2,    31.5,    26.3,    14.5,    43.9
Pasir Panjang,2020,5,19,     0.0,     0.0,     0.0,     0.0,    30.5,    32.6,    29.1,    13.0,    32.4
Pasir Panjang,2020,5,20,    19.8,    17.6,    18.8,    19.0,    28.7,    31.3,    23.9,    17.0,    62.6
Pasir Panjang,2020,5,21,     0.0,     0.0,     0.0,     0.0,    29.6,    32.0,    27.8,    20.8,    52.2
Pasir Panjang,2020,5,22,    39.0,    17.2,    25.4,    28.6,    28.3,    33.0,    24.4,    20.6,    65.2
Pasir Panjang,2020,5,23,     0.2,     0.2,     0.2,     0.2,    27.9,    29.7,    25.5,    16.8,    39.6
Pasir Panjang,2020,5,24,     0.0,     0.0,     0.0,     0.0,    29.8,    32.4,    27.8,    16.6,    34.3
Pasir Panjang,2020,5,25,     0.0,     0.0,     0.0,     0.0,    30.1,    32.9,    28.2,    16.3,    42.4
Pasir Panjang,2020,5,26,     0.4,     0.2,     0.4,     0.4,    29.8,    32.5,    28.4,    18.0,    60.7
Pasir Panjang,2020,5,27,     2.4,     0.8,     1.2,     1.4,    28.7,    31.4,    27.2,    18.3,    58.7
Pasir Panjang,2020,5,28,     0.2,     0.2,     0.2,     0.2,    29.7,    32.0,    27.4,    13.6,    35.9
Pasir Panjang,2020,5,29,     0.2,     0.2,     0.2,     0.2,    29.2,    31.5,    27.6,    16.3,    51.5
Pasir Panjang,2020,5,30,     0.0,     0.0,     0.0,     0.0,    29.0,    32.0,    27.4,    19.7,    56.5
Pasir Panjang,2020,5,31,     0.0,     0.0,     0.0,     0.0,    29.1,    31.5,    27.7,    19.7,    46.5
