Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (South),2012,6,1,0,—,—,—,27.4,30.4,24.4,4.2,24.8
Choa Chu Kang (South),2012,6,2,0,—,—,—,28,31.2,25.4,3,17.6
Choa Chu Kang (South),2012,6,3,0,—,—,—,28.1,30.9,25.4,3.6,16.9
Choa Chu Kang (South),2012,6,4,0,—,—,—,28.5,32.5,26.3,2.7,21.6
Choa Chu Kang (South),2012,6,5,2,—,—,—,28.9,32.1,25.9,3.2,14.8
Choa Chu Kang (South),2012,6,6,0,—,—,—,28.5,31.9,25.1,7.6,38.5
Choa Chu Kang (South),2012,6,7,0,—,—,—,29.8,33.5,26.5,5,25.2
Choa Chu Kang (South),2012,6,8,103.4,—,—,—,28.5,31.3,27.1,3.4,23.4
Choa Chu Kang (South),2012,6,9,1.2,—,—,—,26,28.7,22.7,5,35.3
Choa Chu Kang (South),2012,6,10,0,—,—,—,28.6,32.8,25.1,4.5,27.7
Choa Chu Kang (South),2012,6,11,0,—,—,—,28.7,31.7,26.3,4.4,27.7
Choa Chu Kang (South),2012,6,12,0,—,—,—,28.9,32,27.1,4.7,22
Choa Chu Kang (South),2012,6,13,0,—,—,—,29.4,33.4,26.6,5.7,23.8
Choa Chu Kang (South),2012,6,14,0,—,—,—,29.6,33.4,26.4,5.2,24.8
Choa Chu Kang (South),2012,6,15,0,—,—,—,29.4,32.7,26.7,5.7,27.4
Choa Chu Kang (South),2012,6,16,0,—,—,—,29.4,32.9,26.7,6,25.2
Choa Chu Kang (South),2012,6,17,0,—,—,—,29.4,32.7,27.2,7.5,34.6
Choa Chu Kang (South),2012,6,18,0,—,—,—,29.4,32.6,26.6,6.1,29.9
Choa Chu Kang (South),2012,6,19,0.2,—,—,—,28.7,31.8,26.3,4.8,22
Choa Chu Kang (South),2012,6,20,0,—,—,—,28.9,32.6,26.2,4.9,24.1
Choa Chu Kang (South),2012,6,21,0,—,—,—,28.2,32,26.3,5.1,30.2
Choa Chu Kang (South),2012,6,22,0,—,—,—,28.9,33.5,25.1,5,23.4
Choa Chu Kang (South),2012,6,23,0,—,—,—,29.6,33.2,26,5.2,24.5
Choa Chu Kang (South),2012,6,24,0,—,—,—,29.4,33.3,26.7,5.3,29.5
Choa Chu Kang (South),2012,6,25,0,—,—,—,29.1,33.1,26.6,5,28.8
Choa Chu Kang (South),2012,6,26,0,—,—,—,28.3,33.6,25.6,3.4,25.6
Choa Chu Kang (South),2012,6,27,22,—,—,—,26.8,30.5,23.2,3.7,32.8
Choa Chu Kang (South),2012,6,28,0,—,—,—,27.7,31.6,24.1,4.7,25.6
Choa Chu Kang (South),2012,6,29,0,—,—,—,28.6,32.1,25.3,4.8,29.5
Choa Chu Kang (South),2012,6,30,38,—,—,—,26.7,30.3,22.4,3.9,40.3
