Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Khatib,2017,4,1,1.8,1,1.2,1.8,26.5,32.4,24.6,2.9,21.2
Khatib,2017,4,2,0.2,0.2,0.2,0.2,27.6,32.9,24.5,4,20.2
Khatib,2017,4,3,2,1.6,1.6,1.6,27.1,30,24.5,3.2,21.2
Khatib,2017,4,4,9,8.6,9,9,28,33.2,23.4,4,28.1
Khatib,2017,4,5,0,0,0,0,28.3,33,24.5,4.3,30.2
Khatib,2017,4,6,7.6,7.6,7.6,7.6,28.4,33,25.4,3.6,34.6
Khatib,2017,4,7,3.2,1,1.8,2.6,28.1,34.7,23.8,4,28.8
Khatib,2017,4,8,3,1.2,1.2,1.6,26.8,29.5,24.8,2.9,24.1
Khatib,2017,4,9,0,0,0,0,27.6,33.4,24.5,3.6,26.6
Khatib,2017,4,10,0,0,0,0,27.5,32.4,24.9,4,21.6
Khatib,2017,4,11,1,1,1,1,28.6,34.1,25.1,4,20.9
Khatib,2017,4,12,7,5.4,5.4,5.6,27.9,31.7,24.5,3.2,19.4
Khatib,2017,4,13,47.8,34,45.6,47.6,—,—,—,5,19.4
Khatib,2017,4,14,5.6,2.2,3.6,5.4,—,—,—,2.9,6.8
Khatib,2017,4,15,1,1,1,1,—,—,—,6.1,25.6
Khatib,2017,4,16,4.2,2.2,2.8,4.2,—,—,—,3.6,22.7
Khatib,2017,4,17,0.2,0.2,0.2,0.2,28.1,33.7,24.9,4,36.4
Khatib,2017,4,18,32.6,13.4,21.8,31,26.9,34.1,24.1,3.6,25.2
Khatib,2017,4,19,0.6,0.6,0.6,0.6,27.1,34.1,23.3,3.2,19.1
Khatib,2017,4,20,15.2,8.8,11.2,11.2,26.8,32.9,24.9,3.2,25.6
Khatib,2017,4,21,9.4,4.6,6.4,7.2,—,—,—,4,31.3
Khatib,2017,4,22,0.6,0.4,0.4,0.4,27.6,31.6,24.8,3.2,24.1
Khatib,2017,4,23,0,0,0,0,27.8,31.6,25.1,3.2,17.6
Khatib,2017,4,24,5.8,3.8,3.8,5.2,26.7,33,24.7,3.2,19.1
Khatib,2017,4,25,3,2.8,2.8,3,26.7,33.2,24.4,2.9,23.4
Khatib,2017,4,26,11.6,10.4,11,11.2,27,31.8,24.3,3.2,21.2
Khatib,2017,4,27,1.2,0.6,0.6,0.8,27.7,34.1,24.7,4,25.6
Khatib,2017,4,28,6.4,5.8,6,6,27.5,32.9,23.8,3.6,24.5
Khatib,2017,4,29,0,0,0,0,27.6,30.7,25.4,3.2,14.4
Khatib,2017,4,30,0,0,0,0,28.5,33.9,24.9,4.3,23.8
