Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2022,4,1,     0.0,     0.0,     0.0,     0.0,    28.4,    34.5,    25.0,     4.9,    38.9
Seletar,2022,4,2,    40.4,    35.4,    40.0,    40.4,    27.7,    33.6,    24.4,     5.6,    50.0
Seletar,2022,4,3,     4.6,     4.0,     4.2,     4.6,    26.4,    30.3,    24.1,     5.2,    29.6
Seletar,2022,4,4,     1.2,     0.6,     0.6,     1.2,    27.0,    33.0,    23.5,     5.6,    31.5
Seletar,2022,4,5,     0.0,     0.0,     0.0,     0.0,    27.6,    30.6,    25.5,     8.8,    31.5
Seletar,2022,4,6,    40.4,    33.6,    38.6,    40.0,    27.3,    32.8,    23.3,     5.6,    42.6
Seletar,2022,4,7,     1.0,     0.6,     0.8,     1.0,    26.3,    27.9,    24.7,     6.4,    27.8
Seletar,2022,4,8,     0.0,     0.0,     0.0,     0.0,    27.5,    33.3,    24.6,     7.3,    33.3
Seletar,2022,4,9,     3.6,     2.0,     2.6,     3.6,    26.6,    31.6,    22.9,     7.2,    42.6
Seletar,2022,4,10,     7.0,     6.8,     7.0,     7.0,    27.0,    32.6,    24.9,     6.0,    35.2
Seletar,2022,4,11,     9.8,     8.8,     9.4,     9.6,    26.5,    31.3,    23.9,     4.1,    48.2
Seletar,2022,4,12,     2.8,     2.8,     2.8,     2.8,    27.6,    33.2,    24.3,     3.6,    33.3
Seletar,2022,4,13,     0.0,     0.0,     0.0,     0.0,    28.0,    31.9,    25.3,     5.3,    25.9
Seletar,2022,4,14,     2.4,     2.2,     2.2,     2.4,    28.6,    33.3,    23.4,     7.6,    50.0
Seletar,2022,4,15,    15.8,     6.6,    10.8,    14.4,    27.9,    31.2,    24.6,     5.9,    29.6
Seletar,2022,4,16,     5.0,     5.0,     5.0,     5.0,    28.8,    32.6,    24.0,     6.3,    40.7
Seletar,2022,4,17,    35.4,     8.6,    12.8,    18.4,    28.4,    34.1,    24.9,     6.1,    35.2
Seletar,2022,4,18,    28.4,    13.8,    19.4,    26.2,    27.5,    32.9,    24.4,     7.9,    27.8
Seletar,2022,4,19,    13.8,    11.4,    12.8,    13.2,    27.2,    33.4,    25.0,     5.1,    37.0
Seletar,2022,4,20,     6.0,     5.8,     6.0,     6.0,    27.6,    33.2,    25.0,     5.5,    37.0
Seletar,2022,4,21,    10.6,     4.4,     5.6,     8.6,    25.9,    27.5,    24.3,     3.9,    31.5
Seletar,2022,4,22,     0.0,     0.0,     0.0,     0.0,    28.4,    33.2,    24.1,     9.0,    31.5
Seletar,2022,4,23,    12.0,    12.0,    12.0,    12.0,    28.0,    33.7,    24.5,     4.9,    44.4
Seletar,2022,4,24,     0.0,     0.0,     0.0,     0.0,    28.7,    33.6,    25.5,     6.3,    24.1
Seletar,2022,4,25,    12.2,    12.2,    12.2,    12.2,    27.9,    33.3,    24.4,     5.8,    31.5
Seletar,2022,4,26,     0.0,     0.0,     0.0,     0.0,    28.4,    32.2,    25.0,     5.2,    18.5
Seletar,2022,4,27,     3.6,     3.4,     3.4,     3.4,    27.7,    32.4,    25.9,     5.2,    35.2
Seletar,2022,4,28,    17.4,    14.2,    15.6,    17.0,    27.6,    34.2,    24.7,     4.6,    33.3
Seletar,2022,4,29,     0.0,     0.0,     0.0,     0.0,    28.8,    33.5,    25.6,     5.1,    27.8
Seletar,2022,4,30,    17.2,    12.6,    13.6,    13.8,    27.9,    33.2,    25.0,     4.7,    38.9
