Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,1999,1,1,1.1,—,—,—,24.7,29.4,21.5,7.2,—
Tengah,1999,1,2,1.7,—,—,—,24.1,25.5,22.6,11.6,—
Tengah,1999,1,3,0,—,—,—,25.3,29.8,22.5,12.7,—
Tengah,1999,1,4,6.5,—,—,—,25.4,31.2,21.8,10.9,—
Tengah,1999,1,5,24.8,—,—,—,25.3,31.5,23,7.3,—
Tengah,1999,1,6,50,—,—,—,25.6,32.4,22.3,7.2,—
Tengah,1999,1,7,3.1,—,—,—,25.6,30.3,22.6,8.5,—
Tengah,1999,1,8,0.7,—,—,—,26.3,31,22.8,8.6,—
Tengah,1999,1,9,44,—,—,—,25.6,31.4,23.2,9,—
Tengah,1999,1,10,0,—,—,—,24.7,26.9,22,7.2,—
Tengah,1999,1,11,2.5,—,—,—,25.9,32.7,22,8.8,—
Tengah,1999,1,12,63.8,—,—,—,26.1,32,22.8,8.7,—
Tengah,1999,1,13,1.7,—,—,—,26.4,31.6,23.5,8.5,—
Tengah,1999,1,14,0,—,—,—,26.8,33.2,22.5,5.9,—
Tengah,1999,1,15,1.7,—,—,—,27,31.5,22.9,8.9,—
Tengah,1999,1,16,26.1,—,—,—,25.5,29.5,22.8,7,—
Tengah,1999,1,17,12.3,—,—,—,25.8,30.5,23.1,10,—
Tengah,1999,1,18,1.9,—,—,—,25.7,30.4,22.4,8.3,—
Tengah,1999,1,19,10.6,—,—,—,25.4,31.2,22.4,7.6,—
Tengah,1999,1,20,2,—,—,—,25.6,29.4,22.5,6.1,—
Tengah,1999,1,21,3.1,—,—,—,25.9,31,22.5,9.2,—
Tengah,1999,1,22,0.7,—,—,—,26,31,22.4,9.7,—
Tengah,1999,1,23,75.8,—,—,—,25.4,32.1,22.5,9.4,—
Tengah,1999,1,24,2.6,—,—,—,25.8,33.5,22.9,8.2,—
Tengah,1999,1,25,0.5,—,—,—,25,28,22.8,8.4,—
Tengah,1999,1,26,0,—,—,—,26.6,31.1,23.3,8.7,—
Tengah,1999,1,27,0,—,—,—,27.4,31.7,23.3,6.4,—
Tengah,1999,1,28,0,—,—,—,27.6,32.7,24.1,5.9,—
Tengah,1999,1,29,3.3,—,—,—,27.2,32.4,23.5,5.5,—
Tengah,1999,1,30,0,—,—,—,27.7,32.7,24,7.9,—
Tengah,1999,1,31,0,—,—,—,28.2,34.5,23.6,12,—
