Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,1991,4,1,19.4,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,2,1.6,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,3,1.5,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,4,2.2,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,5,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,6,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,7,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,8,0.1,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,9,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,10,0.8,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,11,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,12,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,13,1.8,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,14,0.4,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,15,15.1,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,16,26.8,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,17,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,18,2,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,19,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,20,1.3,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,21,0.5,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,22,7.6,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,23,0.2,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,24,51.8,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,25,19,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,26,0.4,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,27,7.9,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,28,0,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,29,3.9,—,—,—,—,—,—,—,—
Sentosa Island,1991,4,30,3.6,—,—,—,—,—,—,—,—
