Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Clementi,2019,9,1,0,0,0,0,28.8,32.4,26.5,9.4,25.9
Clementi,2019,9,2,0,0,0,0,29,32.6,26.8,9.4,27.4
Clementi,2019,9,3,0,0,0,0,29.1,32.4,27.1,9.4,26.6
Clementi,2019,9,4,33.2,21.6,32,33.2,28.1,31.9,22.5,8.3,27
Clementi,2019,9,5,0,0,0,0,28.6,32.3,26.7,10.4,26.3
Clementi,2019,9,6,0,0,0,0,28.8,32.8,26.2,10.1,27.7
Clementi,2019,9,7,0,0,0,0,28.8,32.1,26.7,11.2,27.4
Clementi,2019,9,8,0,0,0,0,28.8,32.6,26.7,11.2,29.5
Clementi,2019,9,9,0,0,0,0,29,32.2,26.8,9.7,24.8
Clementi,2019,9,10,0,0,0,0,28.8,32.3,27,10.1,31.3
Clementi,2019,9,11,0,0,0,0,29,32.7,26.5,8.6,24.5
Clementi,2019,9,12,0,0,0,0,28.9,32.9,26.5,8.6,25.9
Clementi,2019,9,13,0,0,0,0,28.8,32.3,26.6,9.7,25.2
Clementi,2019,9,14,0,0,0,0,28,29.6,26.8,10.8,25.2
Clementi,2019,9,15,0,0,0,0,28.2,31.3,26.6,10.4,25.9
Clementi,2019,9,16,0,0,0,0,28.4,32,26.1,10.1,25.2
Clementi,2019,9,17,0,0,0,0,28.6,32.5,26.5,10.8,25.9
Clementi,2019,9,18,0,0,0,0,28.8,32.2,27.1,10.8,28.4
Clementi,2019,9,19,0,0,0,0,28.8,32.4,27,9.4,27.7
Clementi,2019,9,20,0,0,0,0,28.4,31.8,26.7,9.4,25.9
Clementi,2019,9,21,0,0,0,0,28.8,32.7,26.1,9.7,28.1
Clementi,2019,9,22,0,0,0,0,29,33.2,26.1,8.6,26.6
Clementi,2019,9,23,0,0,0,0,28.5,31.6,26.9,6.8,24.8
Clementi,2019,9,24,0,0,0,0,29.2,33.9,26,6.1,28.1
Clementi,2019,9,25,14.8,9.4,10.8,13,26.4,30.6,23.7,5.8,27
Clementi,2019,9,26,0.2,0.2,0.2,0.2,28.3,32.4,25,6.8,21.6
Clementi,2019,9,27,13,9.6,12.8,12.8,28.1,33.1,24.6,5.8,25.6
Clementi,2019,9,28,0,0,0,0,28.4,32.9,25.5,6.5,20.5
Clementi,2019,9,29,43.6,31.6,32.2,35.2,26.9,33.4,23,5.4,48.6
Clementi,2019,9,30,9.6,5.8,7.8,9,26.3,30.4,23.8,6.1,20.5
