Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,1984,12,1,30.6,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,2,0,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,3,0,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,4,3.9,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,5,1.1,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,6,0.3,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,7,3.8,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,8,0.2,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,9,0.1,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,10,0.2,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,11,0,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,12,0,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,13,0,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,14,0,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,15,3.9,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,16,12.4,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,17,0.9,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,18,78,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,19,20.9,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,20,0.3,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,21,7.2,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,22,1,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,23,29.4,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,24,18.5,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,25,0.2,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,26,0.4,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,27,16.3,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,28,42,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,29,10.7,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,30,0,—,—,—,—,—,—,—,—
Paya Lebar,1984,12,31,0,—,—,—,—,—,—,—,—
