Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,1985,5,1,2.8,—,—,—,—,31.7,24.7,8.1,—
Tengah,1985,5,2,0,—,—,—,—,33.5,24.4,13.1,—
Tengah,1985,5,3,0.1,—,—,—,—,30.3,24.6,9.4,—
Tengah,1985,5,4,0,—,—,—,—,33.8,23.7,10.6,—
Tengah,1985,5,5,8.3,—,—,—,—,31.8,25.3,7.9,—
Tengah,1985,5,6,13.5,—,—,—,—,32.6,24.2,8.2,—
Tengah,1985,5,7,0,—,—,—,—,33.2,23.5,11.5,—
Tengah,1985,5,8,0,—,—,—,—,34.9,23.8,7.4,—
Tengah,1985,5,9,3.9,—,—,—,—,34.2,24.2,8.2,—
Tengah,1985,5,10,9.2,—,—,—,—,33.1,24,9.8,—
Tengah,1985,5,11,2.4,—,—,—,—,32,24.8,4.7,—
Tengah,1985,5,12,0,—,—,—,—,30.2,23.8,10.9,—
Tengah,1985,5,13,2.4,—,—,—,—,31,23.8,8.9,—
Tengah,1985,5,14,0,—,—,—,—,32.5,24.2,12.5,—
Tengah,1985,5,15,2.3,—,—,—,—,32,24.6,8.4,—
Tengah,1985,5,16,0.7,—,—,—,—,30.7,24.4,7.9,—
Tengah,1985,5,17,0,—,—,—,—,34,24.3,9.6,—
Tengah,1985,5,18,0.1,—,—,—,—,33.4,24.3,8.2,—
Tengah,1985,5,19,0,—,—,—,—,32.8,24.6,7.8,—
Tengah,1985,5,20,10.7,—,—,—,—,32.1,25,10,—
Tengah,1985,5,21,143.7,—,—,—,—,27.2,23.7,8,—
Tengah,1985,5,22,2.1,—,—,—,—,31.7,23.5,9.9,—
Tengah,1985,5,23,1.2,—,—,—,—,30.7,24.5,10.1,—
Tengah,1985,5,24,0,—,—,—,—,33,24.9,8.7,—
Tengah,1985,5,25,0.4,—,—,—,—,31.1,25.5,13.5,—
Tengah,1985,5,26,2.5,—,—,—,—,30.4,25.1,12.5,—
Tengah,1985,5,27,0,—,—,—,—,31.7,24,7.7,—
Tengah,1985,5,28,0,—,—,—,—,33.4,24.8,11.1,—
Tengah,1985,5,29,0.1,—,—,—,—,34.3,24.9,12.2,—
Tengah,1985,5,30,0,—,—,—,—,33.4,24.2,15.2,—
Tengah,1985,5,31,0,—,—,—,—,33.2,24,12.2,—
