Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (South),2017,4,1,3,3,3,3,—,—,—,4.3,20.9
Choa Chu Kang (South),2017,4,2,0,0,0,0,27.5,31.6,24.9,4.7,24.5
Choa Chu Kang (South),2017,4,3,10.6,10,10,10.2,—,—,—,4.3,25.2
Choa Chu Kang (South),2017,4,4,3.8,2.8,3.4,3.6,—,—,—,—,—
Choa Chu Kang (South),2017,4,5,6.6,6.4,6.4,6.6,—,—,—,6.1,28.4
Choa Chu Kang (South),2017,4,6,0,0,0,0,28.7,32.6,26.2,4.3,25.6
Choa Chu Kang (South),2017,4,7,10.4,5.4,6.8,8.2,28.1,33.5,23.2,5.4,33.5
Choa Chu Kang (South),2017,4,8,7.6,5.2,7,7.2,26.8,28.6,24.2,3.6,30.2
Choa Chu Kang (South),2017,4,9,27,18.6,24.4,27,—,—,—,4.7,110.9
Choa Chu Kang (South),2017,4,10,3,3,3,3,—,—,—,—,—
Choa Chu Kang (South),2017,4,11,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,12,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,13,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,14,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,15,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,16,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,17,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,18,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,19,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,20,5.4,3,4.6,5.4,27.5,32.5,25.4,3.2,23
Choa Chu Kang (South),2017,4,21,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,22,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,23,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,24,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,25,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,26,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,27,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,28,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,29,—,—,—,—,—,—,—,—,—
Choa Chu Kang (South),2017,4,30,—,—,—,—,—,—,—,—,—
