Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2022,5,1,     0.4,     0.2,     0.2,     0.2,    29.1,    31.8,    26.5,     9.0,    30.2
Pasir Panjang,2022,5,2,     1.6,     0.8,     1.0,     1.2,    28.4,    30.5,    25.6,    10.6,    62.2
Pasir Panjang,2022,5,3,     7.2,     3.2,     3.8,     5.0,    28.2,    30.1,    25.0,    12.4,    54.8
Pasir Panjang,2022,5,4,    32.0,    18.8,    25.4,    28.4,    28.4,    30.3,    24.6,    12.8,    54.1
Pasir Panjang,2022,5,5,     0.0,     0.0,     0.0,     0.0,    29.1,    31.8,    27.4,     9.6,    34.3
Pasir Panjang,2022,5,6,     0.0,     0.0,     0.0,     0.0,    29.9,    33.1,    28.5,     8.6,    27.4
Pasir Panjang,2022,5,7,    13.2,     7.6,    11.0,    11.2,    28.0,    30.3,    24.2,     9.4,    56.5
Pasir Panjang,2022,5,8,     1.6,     0.8,     1.2,     1.4,    28.7,    30.5,    26.7,     8.9,    42.4
Pasir Panjang,2022,5,9,     0.2,     0.2,     0.2,     0.2,    30.1,    33.5,    27.8,    10.6,    32.8
Pasir Panjang,2022,5,10,     0.0,     0.0,     0.0,     0.0,    30.6,    34.3,    28.1,     9.7,    35.0
Pasir Panjang,2022,5,11,    32.4,    13.4,    18.2,    27.8,    28.3,    30.9,    24.5,     9.3,    65.9
Pasir Panjang,2022,5,12,     0.0,     0.0,     0.0,     0.0,    30.2,    32.5,    28.5,    15.9,    57.6
Pasir Panjang,2022,5,13,     0.0,     0.0,     0.0,     0.0,    30.2,    34.2,    28.0,     6.9,    23.7
Pasir Panjang,2022,5,14,     0.0,     0.0,     0.0,     0.0,    30.2,    33.2,    28.6,     8.4,    25.2
Pasir Panjang,2022,5,15,     0.0,     0.0,     0.0,     0.0,    29.8,    33.6,    27.2,     8.0,    34.6
Pasir Panjang,2022,5,16,    70.4,    38.2,    61.4,    69.8,    27.6,    29.9,    23.6,    11.4,    60.6
Pasir Panjang,2022,5,17,     0.0,     0.0,     0.0,     0.0,    29.2,    31.9,    26.3,     8.0,    25.6
Pasir Panjang,2022,5,18,     0.0,     0.0,     0.0,     0.0,    30.3,    32.9,    28.7,     8.6,    26.7
Pasir Panjang,2022,5,19,    27.0,    18.4,    18.8,    18.8,    28.4,    31.4,    24.7,     8.0,    47.2
Pasir Panjang,2022,5,20,     1.6,     1.6,     1.6,     1.6,    29.1,    31.6,    26.5,     6.0,    24.8
Pasir Panjang,2022,5,21,     0.0,     0.0,     0.0,     0.0,    29.7,    31.9,    27.4,     7.7,    30.6
Pasir Panjang,2022,5,22,     0.0,     0.0,     0.0,     0.0,    29.9,    32.1,    28.5,     9.8,    40.4
Pasir Panjang,2022,5,23,     0.0,     0.0,     0.0,     0.0,    30.0,    32.5,    28.2,     9.6,    32.4
Pasir Panjang,2022,5,24,     0.0,     0.0,     0.0,     0.0,    30.2,    33.2,    27.3,     9.0,    29.1
Pasir Panjang,2022,5,25,    15.0,    10.8,    11.2,    11.2,    28.1,    32.0,    24.8,    12.8,    70.9
Pasir Panjang,2022,5,26,     0.0,     0.0,     0.0,     0.0,    28.9,    31.8,    26.2,    10.0,    31.3
Pasir Panjang,2022,5,27,     0.0,     0.0,     0.0,     0.0,    30.3,    32.5,    28.6,    14.1,    48.5
Pasir Panjang,2022,5,28,     0.0,     0.0,     0.0,     0.0,    29.4,    30.9,    26.2,    12.1,    51.1
Pasir Panjang,2022,5,29,     0.0,     0.0,     0.0,     0.0,    30.7,    33.2,    29.1,    12.0,    36.3
Pasir Panjang,2022,5,30,     0.0,     0.0,     0.0,     0.0,    30.8,    33.5,    28.9,    10.7,    34.3
Pasir Panjang,2022,5,31,     0.0,     0.0,     0.0,     0.0,    30.3,    33.1,    28.6,     9.7,    44.6
