Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2009,1,1,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,2,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,3,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,4,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,5,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,6,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,7,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,8,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,9,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,10,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,11,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,12,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,13,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,14,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,15,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,16,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,17,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,18,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,19,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,20,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,21,—,—,—,—,—,—,—,—,—
Admiralty,2009,1,22,0,—,—,—,—,31.5,23.3,11.1,31.7
Admiralty,2009,1,23,0,—,—,—,—,31.9,23.8,11.4,36
Admiralty,2009,1,24,0,—,—,—,26.8,31.4,24.4,11.7,38.2
Admiralty,2009,1,25,0.8,—,—,—,25.9,27.8,24.4,12.7,38.2
Admiralty,2009,1,26,0,—,—,—,25.9,29.6,23.7,12.4,42.5
Admiralty,2009,1,27,0,—,—,—,—,30.2,23.7,10.4,38.9
Admiralty,2009,1,28,0,—,—,—,26.6,31.9,23.7,10.3,32.4
Admiralty,2009,1,29,0,—,—,—,26.3,30,23.9,11.3,33.5
Admiralty,2009,1,30,0,—,—,—,26.5,30.9,24.2,9.6,31.3
Admiralty,2009,1,31,0,—,—,—,26.4,29.9,24.8,11.4,41.8
