Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,2010,11,1,1.4,—,—,—,28.2,32.4,23.8,11.5,44.3
Tengah,2010,11,2,0,—,—,—,27.9,32.3,23.7,7.2,25.9
Tengah,2010,11,3,0.7,—,—,—,29.5,34.6,25.8,9.3,24.1
Tengah,2010,11,4,3.7,—,—,—,28.1,31.1,24.5,5.6,20.5
Tengah,2010,11,5,0.1,—,—,—,—,33.2,25.1,5.9,20.5
Tengah,2010,11,6,24.5,—,—,—,—,33.8,23.6,10.8,37.1
Tengah,2010,11,7,1.8,—,—,—,—,31.1,22.6,9.3,44.3
Tengah,2010,11,8,25.4,—,—,—,—,30.4,23,8.2,31.3
Tengah,2010,11,9,5,—,—,—,—,28.2,23.1,4.9,37.1
Tengah,2010,11,10,0,—,—,—,—,33.1,24.2,8,27.7
Tengah,2010,11,11,0,—,—,—,—,31.9,24.3,6.2,29.5
Tengah,2010,11,12,0,—,—,—,26.8,31.3,24.6,8.7,27.7
Tengah,2010,11,13,0.5,—,—,—,—,33.1,23.7,7.5,31.3
Tengah,2010,11,14,8,—,—,—,25.2,31.8,23.6,6.7,33.5
Tengah,2010,11,15,26.2,—,—,—,25.8,30.9,23.5,7.4,44.3
Tengah,2010,11,16,31.5,—,—,—,25.7,32.2,23.1,6.8,37.1
Tengah,2010,11,17,3.4,—,—,—,—,29.9,23.4,5.2,22.3
Tengah,2010,11,18,0,—,—,—,—,31.8,22.7,5.1,20.5
Tengah,2010,11,19,0,—,—,—,—,33.7,23.1,7.2,25.9
Tengah,2010,11,20,0.6,—,—,—,—,30.8,23.3,5.2,20.5
Tengah,2010,11,21,0,—,—,—,—,33.2,23.3,5.8,27.7
Tengah,2010,11,22,0,—,—,—,—,33.2,24,7.3,24.1
Tengah,2010,11,23,1.3,—,—,—,—,33.1,23.6,6.6,29.5
Tengah,2010,11,24,1.5,—,—,—,—,32.6,23.6,6.8,24.1
Tengah,2010,11,25,32.9,—,—,—,25.2,32.3,22.8,6.5,29.5
Tengah,2010,11,26,2.4,—,—,—,26.7,32.2,22.8,6.2,31.3
Tengah,2010,11,27,0,—,—,—,—,32.7,23.4,4.3,27.7
Tengah,2010,11,28,61.5,—,—,—,—,30.5,23.3,4.8,25.9
Tengah,2010,11,29,11.8,—,—,—,—,31.6,23.7,6.5,22.3
Tengah,2010,11,30,17,—,—,—,—,33,22.9,7.4,37.1
