Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2011,12,1,3.4,—,—,—,27.2,29,25.6,7.6,26.6
East Coast Parkway,2011,12,2,24.8,—,—,—,25.7,27.4,22.1,5.9,37.8
East Coast Parkway,2011,12,3,20.8,—,—,—,25.9,30,23.1,7.2,55.8
East Coast Parkway,2011,12,4,45.6,—,—,—,26.3,29,24.1,8,36.4
East Coast Parkway,2011,12,5,0,—,—,—,26.6,29.1,24.4,7,25.2
East Coast Parkway,2011,12,6,0,—,—,—,27.4,30.6,25.1,8.6,25.6
East Coast Parkway,2011,12,7,0.8,—,—,—,27.4,29,26.3,7.7,37.1
East Coast Parkway,2011,12,8,0,—,—,—,27.5,30.9,25.7,6.9,29.5
East Coast Parkway,2011,12,9,29.8,—,—,—,27.2,31.2,23.8,8.5,41.4
East Coast Parkway,2011,12,10,0,—,—,—,27.7,30.4,25.7,8.8,39.2
East Coast Parkway,2011,12,11,3.8,—,—,—,25.6,27.4,23.4,7.3,35.3
East Coast Parkway,2011,12,12,0,—,—,—,26.1,28.4,24.6,7.3,30.2
East Coast Parkway,2011,12,13,0,—,—,—,27.5,29.8,25.7,12,48.6
East Coast Parkway,2011,12,14,4.6,—,—,—,27.4,30.7,25.2,8.3,40
East Coast Parkway,2011,12,15,0,—,—,—,27.5,29.9,25.7,7.1,28.8
East Coast Parkway,2011,12,16,33.8,—,—,—,27,31,24.9,7.6,29.5
East Coast Parkway,2011,12,17,6.6,—,—,—,26.7,29.2,25,9.8,39.6
East Coast Parkway,2011,12,18,46.6,—,—,—,26.6,29.1,24.5,8.2,36.7
East Coast Parkway,2011,12,19,30.4,—,—,—,25.2,26.7,24.5,8.3,35.6
East Coast Parkway,2011,12,20,1,—,—,—,26.2,28.2,24.5,7.2,32.8
East Coast Parkway,2011,12,21,0,—,—,—,27.2,29.6,25.3,6.3,30.2
East Coast Parkway,2011,12,22,0.8,—,—,—,26,27.1,25.3,7,33.1
East Coast Parkway,2011,12,23,2.4,—,—,—,26.7,28.7,25.4,9.2,39.2
East Coast Parkway,2011,12,24,6.2,—,—,—,27,29.2,25.6,11.5,51.5
East Coast Parkway,2011,12,25,1.2,—,—,—,26.3,27.7,25,12.7,41.8
East Coast Parkway,2011,12,26,0.2,—,—,—,27,29.1,26,14.7,42.5
East Coast Parkway,2011,12,27,0.2,—,—,—,27.2,29.9,26,13.7,37.1
East Coast Parkway,2011,12,28,0,—,—,—,26.6,28.2,25.3,10,40
East Coast Parkway,2011,12,29,0.6,—,—,—,26.3,28.3,25.2,8.9,31.7
East Coast Parkway,2011,12,30,0,—,—,—,27.2,30.5,25,8.1,29.5
East Coast Parkway,2011,12,31,0,—,—,—,27,30.2,24.6,9,24.1
