Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,1997,8,1,0,—,—,—,28.8,34,24.7,11.8,—
Seletar,1997,8,2,0,—,—,—,29.2,34,25.6,10.4,—
Seletar,1997,8,3,0,—,—,—,29.2,33,26.5,10.2,—
Seletar,1997,8,4,0,—,—,—,29.2,33.6,26,9.7,—
Seletar,1997,8,5,35.2,—,—,—,27.8,33.4,23.4,8.9,—
Seletar,1997,8,6,33.8,—,—,—,25.3,30.1,22.4,11.8,—
Seletar,1997,8,7,0,—,—,—,27.4,32.8,24,7.5,—
Seletar,1997,8,8,0,—,—,—,28.2,33.4,25,9.5,—
Seletar,1997,8,9,0,—,—,—,28.9,34.4,25.1,12.5,—
Seletar,1997,8,10,0,—,—,—,28.2,33.3,24.5,9,—
Seletar,1997,8,11,1.1,—,—,—,27.8,32.7,25.1,8.3,—
Seletar,1997,8,12,0,—,—,—,28.6,33.2,24.8,10.9,—
Seletar,1997,8,13,0,—,—,—,28.5,34.1,25.5,12.4,—
Seletar,1997,8,14,0,—,—,—,28.2,33,25.1,10,—
Seletar,1997,8,15,0,—,—,—,28.6,33.6,24.5,11.1,—
Seletar,1997,8,16,3,—,—,—,26.8,31.9,24.3,12.6,—
Seletar,1997,8,17,0,—,—,—,27.5,31.9,24.2,11.3,—
Seletar,1997,8,18,6.6,—,—,—,27.8,32.5,24.5,13.9,—
Seletar,1997,8,19,0,—,—,—,28.6,32.9,25.5,10.2,—
Seletar,1997,8,20,0.7,—,—,—,28.6,32.3,26.2,11,—
Seletar,1997,8,21,0.4,—,—,—,27.1,30.6,24.4,10.6,—
Seletar,1997,8,22,6.4,—,—,—,28,32.8,24.5,10.6,—
Seletar,1997,8,23,61.8,—,—,—,25.1,27.6,22.4,13.2,—
Seletar,1997,8,24,0,—,—,—,27.4,31.9,24,12.9,—
Seletar,1997,8,25,0,—,—,—,28.6,33,25.5,11.2,—
Seletar,1997,8,26,0,—,—,—,29,33.5,26.1,8.7,—
Seletar,1997,8,27,0,—,—,—,28.6,33.3,25,9.4,—
Seletar,1997,8,28,0,—,—,—,28.6,32.9,25.4,9.4,—
Seletar,1997,8,29,2,—,—,—,27,32.7,23.5,12.9,—
Seletar,1997,8,30,0,—,—,—,26.9,32.8,23.8,13.4,—
Seletar,1997,8,31,0,—,—,—,27.9,32.7,23.9,8,—
