Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marina Barrage,2021,4,1,     0.0,     0.0,     0.0,     0.0,    30.6,    34.2,    27.9,     7.4,    29.1
Marina Barrage,2021,4,2,    23.8,    12.0,    12.0,    12.0,    29.0,    33.9,    23.7,     6.1,    40.0
Marina Barrage,2021,4,3,    21.8,    19.0,    21.4,    21.4,    28.2,    33.2,    24.9,     4.8,    23.0
Marina Barrage,2021,4,4,    24.6,    20.4,    20.4,    20.4,    27.9,    31.3,    23.5,     5.6,    67.0
Marina Barrage,2021,4,5,    20.0,    14.6,    15.8,    16.6,    27.3,    32.7,    24.1,     5.2,    36.3
Marina Barrage,2021,4,6,     5.6,     4.4,     5.0,     5.6,    28.2,    32.7,    25.9,     4.9,    22.6
Marina Barrage,2021,4,7,     0.0,     0.0,     0.0,     0.0,    29.1,    33.9,    25.4,     7.3,    40.7
Marina Barrage,2021,4,8,     0.0,     0.0,     0.0,     0.0,    28.8,    33.3,    25.5,     6.9,    29.8
Marina Barrage,2021,4,9,    72.2,    50.8,    70.2,    71.0,    28.1,    33.0,    24.0,     5.7,    30.6
Marina Barrage,2021,4,10,     0.0,     0.0,     0.0,     0.0,    29.3,    33.7,    26.0,     5.9,    23.0
Marina Barrage,2021,4,11,     0.0,     0.0,     0.0,     0.0,    29.7,    33.5,    26.9,     5.6,    24.4
Marina Barrage,2021,4,12,     0.4,     0.4,     0.4,     0.4,    29.0,    33.6,    24.7,     5.6,    28.2
Marina Barrage,2021,4,13,     0.0,     0.0,     0.0,     0.0,    29.7,    35.0,    27.3,     4.8,    24.8
Marina Barrage,2021,4,14,    21.6,    14.6,    19.0,    21.6,    28.9,    33.0,    24.2,     5.3,    31.7
Marina Barrage,2021,4,15,    14.4,     8.6,    10.0,    10.6,    27.4,    33.1,    25.2,     4.1,    27.8
Marina Barrage,2021,4,16,     8.4,     7.2,     8.4,     8.4,    28.3,    30.5,    24.8,     3.9,    23.0
Marina Barrage,2021,4,17,    83.6,    28.4,    35.0,    41.2,    26.2,    30.7,    23.6,     4.4,    36.7
Marina Barrage,2021,4,18,     0.0,     0.0,     0.0,     0.0,    28.3,    32.9,    25.2,     5.2,    17.6
Marina Barrage,2021,4,19,     0.0,     0.0,     0.0,     0.0,    28.7,    32.3,    26.3,     4.7,    33.9
Marina Barrage,2021,4,20,     0.0,     0.0,     0.0,     0.0,    29.6,    34.5,    26.3,     6.0,    26.7
Marina Barrage,2021,4,21,     0.0,     0.0,     0.0,     0.0,    29.7,    33.9,    28.0,     6.2,    24.1
Marina Barrage,2021,4,22,     0.8,     0.8,     0.8,     0.8,    28.2,    32.3,    26.9,     5.4,    26.7
Marina Barrage,2021,4,23,     0.0,     0.0,     0.0,     0.0,    29.5,    33.4,    25.7,     6.6,    27.8
Marina Barrage,2021,4,24,    26.8,     8.4,    12.0,    18.4,    26.8,    29.0,    24.3,     5.3,    39.6
Marina Barrage,2021,4,25,     0.0,     0.0,     0.0,     0.0,    29.8,    34.4,    26.0,     3.4,    14.8
Marina Barrage,2021,4,26,    18.2,    14.8,    17.8,    18.2,    28.9,    34.5,    24.9,     4.4,    46.1
Marina Barrage,2021,4,27,     0.0,     0.0,     0.0,     0.0,    28.7,    32.6,    26.1,     4.3,    19.4
Marina Barrage,2021,4,28,     0.0,     0.0,     0.0,     0.0,    29.8,    34.5,    26.6,     4.5,    18.3
Marina Barrage,2021,4,29,     0.0,     0.0,     0.0,     0.0,    30.2,    35.0,    27.4,     4.6,    21.7
Marina Barrage,2021,4,30,     0.8,     0.8,     0.8,     0.8,    29.4,    33.6,    27.3,     4.4,    20.9
