Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),2020,4,1,     0.0,     0.0,     0.0,     0.0,    29.2,    34.2,    25.9,     5.4,    27.8
Jurong (West),2020,4,2,    17.0,     9.4,    11.4,    11.6,    28.2,    35.0,    24.4,     5.5,    45.4
Jurong (West),2020,4,3,    38.6,    32.6,    37.2,    38.2,    27.5,    32.6,    23.8,     5.5,    30.9
Jurong (West),2020,4,4,     4.0,     4.0,     4.0,     4.0,    28.1,    32.8,    25.7,     5.4,    24.8
Jurong (West),2020,4,5,     3.0,     2.2,     2.4,     2.8,    27.4,    33.6,    24.6,     5.7,    43.5
Jurong (West),2020,4,6,     4.6,     3.8,     4.4,     4.6,    26.9,    31.8,    24.9,     4.9,    23.3
Jurong (West),2020,4,7,    71.8,    25.6,    39.6,    58.4,    26.7,    31.4,    22.9,     5.5,    35.6
Jurong (West),2020,4,8,    23.4,    22.0,    23.4,    23.4,    27.6,    34.6,    24.0,     6.0,    31.3
Jurong (West),2020,4,9,     0.2,     0.2,     0.2,     0.2,    28.6,    35.0,    25.1,     6.8,    30.9
Jurong (West),2020,4,10,     0.0,     0.0,     0.0,     0.0,    28.7,    32.9,    25.0,     6.5,    25.9
Jurong (West),2020,4,11,     0.0,     0.0,     0.0,     0.0,    28.6,    32.8,    26.5,     6.3,    25.2
Jurong (West),2020,4,12,     0.2,     0.2,     0.2,     0.2,    28.4,    33.5,    26.0,     6.3,    29.1
Jurong (West),2020,4,13,     2.6,     2.0,     2.2,     2.2,    27.6,    32.6,    25.0,     5.5,    25.9
Jurong (West),2020,4,14,     0.0,     0.0,     0.0,     0.0,    29.1,    34.2,    26.2,     6.8,    26.7
Jurong (West),2020,4,15,     0.0,     0.0,     0.0,     0.0,    29.3,    34.3,    26.1,     7.3,    32.4
Jurong (West),2020,4,16,     0.0,     0.0,     0.0,     0.0,    29.3,    33.9,    26.0,     7.1,    24.4
Jurong (West),2020,4,17,     0.0,     0.0,     0.0,     0.0,    29.4,    34.8,    26.0,     6.4,    26.3
Jurong (West),2020,4,18,     6.4,     6.4,     6.4,     6.4,    28.9,    33.9,    25.7,     6.6,    36.7
Jurong (West),2020,4,19,     0.0,     0.0,     0.0,     0.0,    30.1,    35.2,    27.1,     6.8,    26.7
Jurong (West),2020,4,20,     0.0,     0.0,     0.0,     0.0,    30.0,    35.1,    26.9,     7.8,    29.8
Jurong (West),2020,4,21,    12.2,     7.4,    10.0,    12.2,    28.4,    35.0,    24.5,     5.2,    35.2
Jurong (West),2020,4,22,     0.2,     0.2,     0.2,     0.2,    29.2,    34.3,    26.6,     6.7,    29.4
Jurong (West),2020,4,23,     8.0,     6.8,     7.4,     8.0,    27.6,    33.8,    25.6,     4.5,    23.7
Jurong (West),2020,4,24,    67.2,    48.6,    61.0,    64.4,    26.8,    33.8,    23.3,     5.2,    36.7
Jurong (West),2020,4,25,    15.8,    15.0,    15.6,    15.6,    26.9,    32.8,    24.5,     4.7,    30.2
Jurong (West),2020,4,26,     0.2,     0.2,     0.2,     0.2,    26.6,    31.4,    25.2,     4.8,    28.9
Jurong (West),2020,4,27,     7.8,     4.0,     7.2,     7.8,    26.6,    29.6,    24.2,     5.9,    35.2
Jurong (West),2020,4,28,     0.0,     0.0,     0.0,     0.0,    27.6,    31.2,    25.0,     6.7,    23.3
Jurong (West),2020,4,29,    16.4,    15.2,    15.2,    16.4,    28.0,    32.7,    25.0,     6.3,    32.4
Jurong (West),2020,4,30,    26.6,    18.2,    20.6,    20.6,    27.2,    32.9,    24.6,     5.2,    30.2
