Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2023,11,1,     0.0,     0.0,     0.0,     0.0,    28.5,    31.9,    26.1,     4.9,    24.8
Sentosa Island,2023,11,2,     0.0,     0.0,     0.0,     0.0,    29.6,    33.0,    26.2,     4.0,    17.2
Sentosa Island,2023,11,3,     0.0,     0.0,     0.0,     0.0,    29.6,    32.3,    27.2,     4.7,    19.4
Sentosa Island,2023,11,4,     0.0,     0.0,     0.0,     0.0,    29.1,    34.7,    27.3,     3.9,    27.8
Sentosa Island,2023,11,5,     0.0,     0.0,     0.0,     0.0,    29.1,    33.8,    27.3,     4.0,    19.1
Sentosa Island,2023,11,6,     0.0,     0.0,     0.0,     0.0,    29.3,    33.0,    27.2,     3.8,    18.3
Sentosa Island,2023,11,7,     3.2,     3.2,     3.2,     3.2,    28.6,    33.9,    25.5,     4.3,    29.8
Sentosa Island,2023,11,8,     0.0,     0.0,     0.0,     0.0,    28.4,    31.0,    26.2,     5.3,    27.8
Sentosa Island,2023,11,9,     0.0,     0.0,     0.0,     0.0,    28.7,    32.8,    26.8,     5.0,    28.2
Sentosa Island,2023,11,10,     0.0,     0.0,     0.0,     0.0,    29.4,    33.0,    28.0,     5.7,    22.6
Sentosa Island,2023,11,11,     0.0,     0.0,     0.0,     0.0,    29.7,    33.8,    26.9,     4.9,    27.0
Sentosa Island,2023,11,12,     0.0,     0.0,     0.0,     0.0,    29.1,    32.5,    27.4,     4.5,    20.6
Sentosa Island,2023,11,13,     4.2,     4.2,     4.2,     4.2,    29.2,    34.8,    26.1,     3.9,    28.2
Sentosa Island,2023,11,14,    28.4,    22.8,    27.6,    28.2,    27.4,    32.5,    25.2,     4.4,    31.7
Sentosa Island,2023,11,15,     0.0,     0.0,     0.0,     0.0,    28.7,    33.1,    25.9,     5.2,    24.4
Sentosa Island,2023,11,16,    16.0,    15.4,    16.0,    16.0,    28.2,    32.8,    25.3,     4.2,    22.6
Sentosa Island,2023,11,17,     2.2,     2.2,     2.2,     2.2,    28.1,    32.8,    25.9,     3.4,    22.6
Sentosa Island,2023,11,18,    51.8,    30.4,    36.4,    37.2,    28.0,    33.3,    24.8,     4.3,    53.7
Sentosa Island,2023,11,19,     0.0,     0.0,     0.0,     0.0,    27.9,    30.1,    26.1,     4.0,    25.2
Sentosa Island,2023,11,20,     0.0,     0.0,     0.0,     0.0,    28.4,    31.8,    26.0,     5.3,    25.6
Sentosa Island,2023,11,21,    17.4,     5.0,     8.0,    13.8,    27.5,    31.5,    25.8,     4.5,    35.9
Sentosa Island,2023,11,22,     0.0,     0.0,     0.0,     0.0,    28.1,    31.3,    25.9,     6.2,    29.8
Sentosa Island,2023,11,23,     6.4,     4.0,     4.2,     5.2,    28.1,    32.4,    23.8,     6.1,    36.7
Sentosa Island,2023,11,24,     5.2,     4.8,     5.2,     5.2,    27.6,    31.6,    25.0,     5.4,    73.2
Sentosa Island,2023,11,25,     0.8,     0.4,     0.6,     0.6,    27.3,    30.5,    26.0,     3.9,    27.0
Sentosa Island,2023,11,26,     2.6,     2.6,     2.6,     2.6,    27.3,    32.0,    25.6,     3.9,    18.7
Sentosa Island,2023,11,27,     0.0,     0.0,     0.0,     0.0,    27.6,    31.0,    25.6,     4.6,    30.6
Sentosa Island,2023,11,28,    39.4,    24.0,    33.8,    38.6,    27.7,    33.3,    24.7,     4.2,    50.7
Sentosa Island,2023,11,29,     1.0,     1.0,     1.0,     1.0,    27.6,    31.6,    25.5,     3.3,    16.5
Sentosa Island,2023,11,30,    69.6,    27.8,    28.4,    46.2,    27.1,    33.3,    24.4,     4.4,    48.2
