Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,1998,12,1,2.6,—,—,—,—,32.2,23.9,6.5,—
Paya Lebar,1998,12,2,0.6,—,—,—,—,32,24.1,7.5,—
Paya Lebar,1998,12,3,0,—,—,—,—,29.7,23.3,5.9,—
Paya Lebar,1998,12,4,7.8,—,—,—,—,32.5,23.6,7.5,—
Paya Lebar,1998,12,5,0,—,—,—,—,32.1,24,9.9,—
Paya Lebar,1998,12,6,1.5,—,—,—,—,32.9,24.1,8.1,—
Paya Lebar,1998,12,7,1.7,—,—,—,—,32.8,24.1,9.2,—
Paya Lebar,1998,12,8,18,—,—,—,—,28.4,22.9,9.7,—
Paya Lebar,1998,12,9,0,—,—,—,—,31.9,23.7,8,—
Paya Lebar,1998,12,10,3.5,—,—,—,—,32.6,24.8,7.9,—
Paya Lebar,1998,12,11,1.4,—,—,—,—,31.8,24.7,8.3,—
Paya Lebar,1998,12,12,15.3,—,—,—,—,30.4,24.1,6.7,—
Paya Lebar,1998,12,13,0,—,—,—,—,33.2,25.2,7.1,—
Paya Lebar,1998,12,14,0,—,—,—,—,32.6,25,6.9,—
Paya Lebar,1998,12,15,18.5,—,—,—,—,31.2,22.5,9.3,—
Paya Lebar,1998,12,16,0.3,—,—,—,—,29.7,24,11.1,—
Paya Lebar,1998,12,17,24,—,—,—,—,32.1,23.5,8.5,—
Paya Lebar,1998,12,18,15.3,—,—,—,—,31.7,24.3,7.6,—
Paya Lebar,1998,12,19,22.5,—,—,—,—,31.1,23.4,8,—
Paya Lebar,1998,12,20,0,—,—,—,—,31.4,23.7,11.1,—
Paya Lebar,1998,12,21,0.4,—,—,—,—,31.6,23,9.4,—
Paya Lebar,1998,12,22,14,—,—,—,—,32,23.6,7.4,—
Paya Lebar,1998,12,23,23.5,—,—,—,—,25.8,22.7,6.5,—
Paya Lebar,1998,12,24,0,—,—,—,—,29.7,22.7,13.1,—
Paya Lebar,1998,12,25,0,—,—,—,—,31.7,23,11.7,—
Paya Lebar,1998,12,26,141.2,—,—,—,—,29.9,22.5,10.1,—
Paya Lebar,1998,12,27,5,—,—,—,—,25.1,22.5,7.2,—
Paya Lebar,1998,12,28,79.8,—,—,—,—,32,22.2,9,—
Paya Lebar,1998,12,29,34.7,—,—,—,—,25,23.1,8.9,—
Paya Lebar,1998,12,30,12.5,—,—,—,—,26.9,23.3,5.5,—
Paya Lebar,1998,12,31,13,—,—,—,—,24.8,21.9,8.5,—
