Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,1985,9,1,18.6,—,—,—,—,29.7,24.7,8.8,—
Paya Lebar,1985,9,2,16.3,—,—,—,—,28.6,22,9.8,—
Paya Lebar,1985,9,3,1.8,—,—,—,—,29.8,22.8,16.8,—
Paya Lebar,1985,9,4,0,—,—,—,—,30.7,22.6,14.4,—
Paya Lebar,1985,9,5,0,—,—,—,—,31.1,25.5,16.8,—
Paya Lebar,1985,9,6,0,—,—,—,—,32.2,24.8,16.3,—
Paya Lebar,1985,9,7,0,—,—,—,—,32.4,25.4,14,—
Paya Lebar,1985,9,8,18.3,—,—,—,—,31.9,22.7,10.7,—
Paya Lebar,1985,9,9,0,—,—,—,—,31.4,24.3,11,—
Paya Lebar,1985,9,10,1.4,—,—,—,—,32.2,23.7,14.4,—
Paya Lebar,1985,9,11,44.5,—,—,—,—,32.4,22,10.8,—
Paya Lebar,1985,9,12,1.2,—,—,—,—,30,23,11.5,—
Paya Lebar,1985,9,13,12.6,—,—,—,—,31.7,24,11.1,—
Paya Lebar,1985,9,14,2.4,—,—,—,—,29.4,22.4,10.4,—
Paya Lebar,1985,9,15,0,—,—,—,—,30.6,24.6,12.5,—
Paya Lebar,1985,9,16,2,—,—,—,—,31,22.7,12.1,—
Paya Lebar,1985,9,17,0,—,—,—,—,29.8,22.4,11,—
Paya Lebar,1985,9,18,26.8,—,—,—,—,31.6,23,9.9,—
Paya Lebar,1985,9,19,0.1,—,—,—,—,30.8,23.5,10.5,—
Paya Lebar,1985,9,20,0.4,—,—,—,—,31.4,24.5,11.5,—
Paya Lebar,1985,9,21,0,—,—,—,—,31.5,24.3,10.5,—
Paya Lebar,1985,9,22,5,—,—,—,—,31.5,24.4,11.1,—
Paya Lebar,1985,9,23,0.9,—,—,—,—,28.9,24.3,7.2,—
Paya Lebar,1985,9,24,54.6,—,—,—,—,29.7,23.4,8.7,—
Paya Lebar,1985,9,25,0,—,—,—,—,31.3,24.4,11.8,—
Paya Lebar,1985,9,26,13.4,—,—,—,—,31.4,23.1,9.9,—
Paya Lebar,1985,9,27,0.8,—,—,—,—,32.3,24.5,14.5,—
Paya Lebar,1985,9,28,14.9,—,—,—,—,31.5,24.5,13,—
Paya Lebar,1985,9,29,5.7,—,—,—,—,26.3,23,11.1,—
Paya Lebar,1985,9,30,0,—,—,—,—,30.5,24.5,9.1,—
