Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pasir Panjang,2010,10,1,0,—,—,—,28.3,30.1,25.8,7.9,21.2
Pasir Panjang,2010,10,2,9,—,—,—,29.1,32.1,26.9,11.3,34.6
Pasir Panjang,2010,10,3,0,—,—,—,28.2,30,25,11.6,49.7
Pasir Panjang,2010,10,4,2.2,—,—,—,28.4,30.2,27.5,12.2,33.1
Pasir Panjang,2010,10,5,1.4,—,—,—,28.9,31.8,26.8,7.9,29.9
Pasir Panjang,2010,10,6,13.2,—,—,—,28.4,30.5,25.4,10.3,31
Pasir Panjang,2010,10,7,0,—,—,—,28,28.9,27,6.8,25.2
Pasir Panjang,2010,10,8,0,—,—,—,28.9,31.1,26,6.5,16.9
Pasir Panjang,2010,10,9,0,—,—,—,29.7,32,27.2,10.4,35.3
Pasir Panjang,2010,10,10,0,—,—,—,30,31.6,28.9,15.8,50.8
Pasir Panjang,2010,10,11,0,—,—,—,30.1,32.1,28.6,11.1,42.8
Pasir Panjang,2010,10,12,8,—,—,—,29,30.8,24.6,7.2,41.4
Pasir Panjang,2010,10,13,0,—,—,—,27.8,29,24.7,12.5,67
Pasir Panjang,2010,10,14,0,—,—,—,29.4,31,27.8,11.8,32.4
Pasir Panjang,2010,10,15,0,—,—,—,30.2,32.2,28.4,14,55.4
Pasir Panjang,2010,10,16,0,—,—,—,30.2,32.5,28.5,9.3,43.2
Pasir Panjang,2010,10,17,14,—,—,—,29,31.1,25.2,7.8,49.7
Pasir Panjang,2010,10,18,10,—,—,—,29.4,31.4,23.6,7.9,39.6
Pasir Panjang,2010,10,19,0,—,—,—,29,30.3,26.8,8.7,30.6
Pasir Panjang,2010,10,20,0,—,—,—,29,31.4,26.9,8.3,28.8
Pasir Panjang,2010,10,21,4,—,—,—,28.8,29.5,28.1,9.1,28.1
Pasir Panjang,2010,10,22,0,—,—,—,28.8,30.2,26.9,8.5,27.4
Pasir Panjang,2010,10,23,65.6,—,—,—,27.4,31.3,22.6,9.2,40.7
Pasir Panjang,2010,10,24,10,—,—,—,26.8,28.5,25.1,10.5,36
Pasir Panjang,2010,10,25,3,—,—,—,27.6,29,26.1,10.5,40.3
Pasir Panjang,2010,10,26,9.8,—,—,—,27.9,29.6,24.5,16.1,42.8
Pasir Panjang,2010,10,27,0,—,—,—,26.9,28.7,24.2,14.6,54.7
Pasir Panjang,2010,10,28,2,—,—,—,28.5,31.8,26.2,11.4,35.3
Pasir Panjang,2010,10,29,13.4,—,—,—,27.7,30.7,23.6,14.2,51.8
Pasir Panjang,2010,10,30,0.2,—,—,—,27.1,29.7,22.2,15.6,60.5
Pasir Panjang,2010,10,31,0,—,—,—,27.8,29.3,25.5,19.1,50.4
