Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,1998,9,1,11,—,—,—,26.8,32.4,23.3,8.6,—
Seletar,1998,9,2,0,—,—,—,28.3,33.5,24,10.9,—
Seletar,1998,9,3,6.2,—,—,—,26.7,30.7,24,7.1,—
Seletar,1998,9,4,0,—,—,—,27.2,32.1,23,6.4,—
Seletar,1998,9,5,0,—,—,—,27.9,32.5,23.7,9,—
Seletar,1998,9,6,0,—,—,—,28,33.4,24.7,11.1,—
Seletar,1998,9,7,3.1,—,—,—,28,33.1,24,7.3,—
Seletar,1998,9,8,6.5,—,—,—,26.9,31.1,23.7,7.6,—
Seletar,1998,9,9,0,—,—,—,27.8,32,23.4,11.4,—
Seletar,1998,9,10,0,—,—,—,28.3,32.6,24.9,7,—
Seletar,1998,9,11,0,—,—,—,28.2,33.1,24.3,10.3,—
Seletar,1998,9,12,0,—,—,—,28.5,32.1,24.5,11.5,—
Seletar,1998,9,13,0.4,—,—,—,26.7,31.6,24.5,11.6,—
Seletar,1998,9,14,0,—,—,—,27.1,32.8,23.5,11.1,—
Seletar,1998,9,15,0,—,—,—,27.5,31.8,24.5,11.1,—
Seletar,1998,9,16,34.4,—,—,—,26,28.9,22.9,10.3,—
Seletar,1998,9,17,0,—,—,—,27.3,31.7,23.4,12.4,—
Seletar,1998,9,18,11,—,—,—,28.7,33,24.1,10.4,—
Seletar,1998,9,19,22.9,—,—,—,26.3,30,22.7,11.6,—
Seletar,1998,9,20,11,—,—,—,26.8,30.9,23,10.2,—
Seletar,1998,9,21,1,—,—,—,27.7,31.5,24,10.2,—
Seletar,1998,9,22,0,—,—,—,28.8,33.5,25.3,8.5,—
Seletar,1998,9,23,0,—,—,—,28.5,33.5,25.4,10.2,—
Seletar,1998,9,24,33.6,—,—,—,27.5,30,25.7,9.4,—
Seletar,1998,9,25,4,—,—,—,26.5,28.9,23.4,11.5,—
Seletar,1998,9,26,1.8,—,—,—,28.3,33.5,24.7,14.4,—
Seletar,1998,9,27,0,—,—,—,27.6,32.4,23.5,3.7,—
Seletar,1998,9,28,25.6,—,—,—,28.5,33,25.1,14.8,—
Seletar,1998,9,29,0,—,—,—,28.5,33,24.5,13.8,—
Seletar,1998,9,30,0.4,—,—,—,28.6,32.5,24.2,12,—
