Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,1994,2,1,0,—,—,—,27.1,32.1,24,14,—
Tengah,1994,2,2,0,—,—,—,27.3,32.4,22.7,13.4,—
Tengah,1994,2,3,7.2,—,—,—,26.3,32.1,23.5,6.6,—
Tengah,1994,2,4,6.4,—,—,—,26.5,31.1,23.5,11.1,—
Tengah,1994,2,5,0.1,—,—,—,27.2,32,23.4,13.3,—
Tengah,1994,2,6,68,—,—,—,25.3,30.5,22.7,6.9,—
Tengah,1994,2,7,9.6,—,—,—,25.2,32.4,22.4,4.1,—
Tengah,1994,2,8,7.1,—,—,—,25.8,33.2,22.3,4.2,—
Tengah,1994,2,9,3.9,—,—,—,25.9,32.3,22.6,7.8,—
Tengah,1994,2,10,1.9,—,—,—,26.5,32.5,22.8,8,—
Tengah,1994,2,11,4.3,—,—,—,26,30.1,23.9,6,—
Tengah,1994,2,12,21.1,—,—,—,25.8,32.4,23.1,5.8,—
Tengah,1994,2,13,0,—,—,—,27.1,31.9,23.1,5.7,—
Tengah,1994,2,14,3.5,—,—,—,26.1,31.8,24.1,6.5,—
Tengah,1994,2,15,6.8,—,—,—,25.9,32.4,21.5,5.3,—
Tengah,1994,2,16,0.2,—,—,—,27.6,32.3,23.5,8.6,—
Tengah,1994,2,17,13.1,—,—,—,26.9,33.2,24.6,7.3,—
Tengah,1994,2,18,0.5,—,—,—,26.4,32.5,23.4,4.3,—
Tengah,1994,2,19,3.4,—,—,—,26.1,33.4,22.7,5.9,—
Tengah,1994,2,20,0,—,—,—,27.3,33.5,22.6,6.2,—
Tengah,1994,2,21,23.8,—,—,—,26.1,33,22.8,6,—
Tengah,1994,2,22,0,—,—,—,27.1,33.3,22.3,4.8,—
Tengah,1994,2,23,0.3,—,—,—,26.6,33.3,23.2,6.2,—
Tengah,1994,2,24,0,—,—,—,27.8,34.4,23.4,7.8,—
Tengah,1994,2,25,0,—,—,—,27,33.6,21.5,6.8,—
Tengah,1994,2,26,0,—,—,—,26.6,31.6,21.5,7.3,—
Tengah,1994,2,27,0,—,—,—,27.2,33,21.6,9.5,—
Tengah,1994,2,28,0,—,—,—,27.8,33.8,22.3,11.2,—
