Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tai Seng,2003,5,1,2.3,—,—,—,—,—,—,—,—
Tai Seng,2003,5,2,7.8,—,—,—,—,—,—,—,—
Tai Seng,2003,5,3,15.2,—,—,—,—,—,—,—,—
Tai Seng,2003,5,4,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,5,11.5,—,—,—,—,—,—,—,—
Tai Seng,2003,5,6,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,7,3.6,—,—,—,—,—,—,—,—
Tai Seng,2003,5,8,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,9,3.8,—,—,—,—,—,—,—,—
Tai Seng,2003,5,10,0.6,—,—,—,—,—,—,—,—
Tai Seng,2003,5,11,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,12,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,13,1.3,—,—,—,—,—,—,—,—
Tai Seng,2003,5,14,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,15,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,16,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,17,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,18,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,19,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,20,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,21,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,22,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,23,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,24,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,25,1.1,—,—,—,—,—,—,—,—
Tai Seng,2003,5,26,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,27,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,28,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,29,0,—,—,—,—,—,—,—,—
Tai Seng,2003,5,30,21.2,—,—,—,—,—,—,—,—
Tai Seng,2003,5,31,0,—,—,—,—,—,—,—,—
