Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Clementi,1983,9,1,0.1,—,—,—,—,—,—,—,—
Clementi,1983,9,2,4.4,—,—,—,—,—,—,—,—
Clementi,1983,9,3,6.3,—,—,—,—,—,—,—,—
Clementi,1983,9,4,1.4,—,—,—,—,—,—,—,—
Clementi,1983,9,5,1.6,—,—,—,—,—,—,—,—
Clementi,1983,9,6,15.7,—,—,—,—,—,—,—,—
Clementi,1983,9,7,0.3,—,—,—,—,—,—,—,—
Clementi,1983,9,8,0.7,—,—,—,—,—,—,—,—
Clementi,1983,9,9,7.8,—,—,—,—,—,—,—,—
Clementi,1983,9,10,35.1,—,—,—,—,—,—,—,—
Clementi,1983,9,11,20,—,—,—,—,—,—,—,—
Clementi,1983,9,12,0,—,—,—,—,—,—,—,—
Clementi,1983,9,13,1.8,—,—,—,—,—,—,—,—
Clementi,1983,9,14,2.8,—,—,—,—,—,—,—,—
Clementi,1983,9,15,13.3,—,—,—,—,—,—,—,—
Clementi,1983,9,16,0.1,—,—,—,—,—,—,—,—
Clementi,1983,9,17,4.2,—,—,—,—,—,—,—,—
Clementi,1983,9,18,7.6,—,—,—,—,—,—,—,—
Clementi,1983,9,19,0.8,—,—,—,—,—,—,—,—
Clementi,1983,9,20,0.3,—,—,—,—,—,—,—,—
Clementi,1983,9,21,0,—,—,—,—,—,—,—,—
Clementi,1983,9,22,0,—,—,—,—,—,—,—,—
Clementi,1983,9,23,2,—,—,—,—,—,—,—,—
Clementi,1983,9,24,10,—,—,—,—,—,—,—,—
Clementi,1983,9,25,0,—,—,—,—,—,—,—,—
Clementi,1983,9,26,0,—,—,—,—,—,—,—,—
Clementi,1983,9,27,0,—,—,—,—,—,—,—,—
Clementi,1983,9,28,1.4,—,—,—,—,—,—,—,—
Clementi,1983,9,29,0,—,—,—,—,—,—,—,—
Clementi,1983,9,30,3,—,—,—,—,—,—,—,—
