Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),1981,4,19,0,,,,,,,,
Jurong (West),1981,4,20,0,,,,,,,,
Jurong (West),1981,4,21,14,,,,,,,,
Jurong (West),1981,4,22,8,,,,,,,,
Jurong (West),1981,4,23,27.8,,,,,,,,
Jurong (West),1981,4,24,0.1,,,,,,,,
Jurong (West),1981,4,25,22.1,,,,,,,,
Jurong (West),1981,4,26,1.4,,,,,,,,
Jurong (West),1981,4,27,13.4,,,,,,,,
Jurong (West),1981,4,28,0,,,,,,,,
Jurong (West),1981,4,29,3.2,,,,,,,,
Jurong (West),1981,4,30,0,,,,,,,,
Jurong (West),1981,5,1,22.1,,,,,,,,
Jurong (West),1981,5,2,8.5,,,,,,,,
Jurong (West),1981,5,3,0,,,,,,,,
Jurong (West),1981,5,4,82.7,,,,,,,,
Jurong (West),1981,5,5,0,,,,,,,,
Jurong (West),1981,5,6,0.7,,,,,,,,
Jurong (West),1981,5,7,26.3,,,,,,,,
Jurong (West),1981,5,8,0,,,,,,,,
Jurong (West),1981,5,9,0,,,,,,,,
Jurong (West),1981,5,10,0,,,,,,,,
Jurong (West),1981,5,11,0,,,,,,,,
Jurong (West),1981,5,12,0,,,,,,,,
Jurong (West),1981,5,13,0,,,,,,,,
Jurong (West),1981,5,14,0,,,,,,,,
Jurong (West),1981,5,15,0.9,,,,,,,,
Jurong (West),1981,5,16,2,,,,,,,,
Jurong (West),1981,5,17,5.6,,,,,,,,
Jurong (West),1981,5,18,15.1,,,,,,,,
Jurong (West),1981,5,19,0,,,,,,,,
Jurong (West),1981,5,20,0.2,,,,,,,,
Jurong (West),1981,5,21,0,,,,,,,,
Jurong (West),1981,5,22,23.5,,,,,,,,
Jurong (West),1981,5,23,11.9,,,,,,,,
Jurong (West),1981,5,24,0,,,,,,,,
Jurong (West),1981,5,25,1.8,,,,,,,,
Jurong (West),1981,5,26,35.8,,,,,,,,
Jurong (West),1981,5,27,0,,,,,,,,
Jurong (West),1981,5,28,2.4,,,,,,,,
Jurong (West),1981,5,29,28.9,,,,,,,,
Jurong (West),1981,5,30,0.1,,,,,,,,
Jurong (West),1981,5,31,0,,,,,,,,
Jurong (West),1981,6,1,0,,,,,,,,
Jurong (West),1981,6,2,0,,,,,,,,
Jurong (West),1981,6,3,0,,,,,,,,
Jurong (West),1981,6,4,0,,,,,,,,
Jurong (West),1981,6,5,0,,,,,,,,
Jurong (West),1981,6,6,0,,,,,,,,
Jurong (West),1981,6,7,0,,,,,,,,
Jurong (West),1981,6,8,0,,,,,,,,
Jurong (West),1981,6,9,0.8,,,,,,,,
Jurong (West),1981,6,10,0,,,,,,,,
Jurong (West),1981,6,11,0,,,,,,,,
Jurong (West),1981,6,12,0,,,,,,,,
Jurong (West),1981,6,13,0,,,,,,,,
Jurong (West),1981,6,14,0,,,,,,,,
Jurong (West),1981,6,15,0,,,,,,,,
Jurong (West),1981,6,16,0,,,,,,,,
Jurong (West),1981,6,17,0,,,,,,,,
Jurong (West),1981,6,18,1.2,,,,,,,,
Jurong (West),1981,6,19,0,,,,,,,,
Jurong (West),1981,6,20,0,,,,,,,,
Jurong (West),1981,6,21,0,,,,,,,,
Jurong (West),1981,6,22,0,,,,,,,,
Jurong (West),1981,6,23,0,,,,,,,,
Jurong (West),1981,6,24,0,,,,,,,,
