Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2009,4,1,0,,,,28.1,32.6,25.1,8.3,32.4
Admiralty,2009,4,2,0,,,,28.6,33.1,25.8,8.3,33.8
Admiralty,2009,4,3,0,,,,28.7,33.2,25.8,10.1,31.3
Admiralty,2009,4,4,0.6,,,,28.6,32.1,26.1,8.8,32
Admiralty,2009,4,5,15.2,,,,26.4,30.8,24.7,5.7,38.5
Admiralty,2009,4,6,1.2,,,,26.8,31.3,25,5.4,34.6
Admiralty,2009,4,7,0,,,,27.3,30.9,24.9,4.5,19.4
Admiralty,2009,4,8,0.2,,,,28.6,32,25.1,9.4,34.6
Admiralty,2009,4,9,0.2,,,,27.6,30.9,26.1,8,32
Admiralty,2009,4,10,33.4,,,,26.7,32.2,23.9,6.4,37.1
Admiralty,2009,4,11,16,,,,26.7,34.1,24.3,5.4,33.5
Admiralty,2009,4,12,8,,,,26.2,28.3,23.9,6,25.2
Admiralty,2009,4,13,0,,,,27,32.4,23.7,5.6,37.8
Admiralty,2009,4,14,0,,,,28.9,34.4,25.3,6,27.4
Admiralty,2009,4,15,21.2,,,,27.5,29.2,24.1,8.2,39.2
Admiralty,2009,4,16,0,,,,27.7,29.8,25.8,5.5,25.9
Admiralty,2009,4,17,0,,,,29.5,34.6,25.8,6.1,24.1
Admiralty,2009,4,18,0,,,,29.9,35.1,26.4,6.8,27
Admiralty,2009,4,19,0,,,,29.1,34.2,25.8,6.5,27.4
Admiralty,2009,4,20,10.8,,,,28.1,30.5,25.5,9.3,36
Admiralty,2009,4,21,0,,,,28.5,32.2,24.5,10.3,41.4
Admiralty,2009,4,22,6.6,,,,29.5,32.6,24.3,12.1,77.8
Admiralty,2009,4,23,0,,,,29,33.2,23.9,11.2,43.6
Admiralty,2009,4,24,0,,,,29.5,32.6,26.3,10.4,38.2
Admiralty,2009,4,25,0,,,,30.1,33.2,27.7,6.3,32
Admiralty,2009,4,26,5.8,,,,27.6,33,23.8,6.6,52.9
Admiralty,2009,4,27,0,,,,29.4,34.7,25.2,4.9,23.4
Admiralty,2009,4,28,16.8,,,,26.7,30.3,24.8,6.1,40.3
Admiralty,2009,4,29,1,,,,28.3,33.4,24.7,5.3,41
Admiralty,2009,4,30,11.8,,,,27,29,23.7,7.4,32.8
Admiralty,2009,5,1,0,,,,28.7,33.5,25.8,7.4,28.4
Admiralty,2009,5,2,15.8,,,,28.3,31.2,26.1,9.3,32.8
Admiralty,2009,5,3,3.6,,,,28.1,31.2,23,12.1,62.6
Admiralty,2009,5,4,2.2,,,,27.6,29.9,25.1,10,37.8
Admiralty,2009,5,5,16.8,,,,29,31.8,26.2,8.1,34.2
Admiralty,2009,5,6,1.2,,,,28,31,21.8,9.7,59.8
Admiralty,2009,5,7,0,,,,29.2,32.7,25,9.3,37.1
Admiralty,2009,5,8,5.6,,,,29.1,32.5,24.8,6.1,33.8
Admiralty,2009,5,9,0.2,,,,28.2,31.5,24.2,8.7,47.5
Admiralty,2009,5,10,2.8,,,,28.8,32.8,26,6,29.5
Admiralty,2009,5,11,0,,,,27.1,32.5,24.9,6.3,27.4
Admiralty,2009,5,12,0,,,,28.2,31.1,25,6.8,25.9
Admiralty,2009,5,13,1.2,,,,29,32.9,26.2,9.6,32
Admiralty,2009,5,14,0.2,,,,28.5,32.3,24.5,7.7,36
Admiralty,2009,5,15,39.6,,,,27.8,34,24.1,5.6,34.2
Admiralty,2009,5,16,0.2,,,,27.6,33.7,25.7,5.5,34.2
Admiralty,2009,5,17,0,,,,29,33.6,25,6.8,25.6
Admiralty,2009,5,18,2,,,,26.5,29.5,24.5,5.5,35.6
Admiralty,2009,5,19,0,,,,28.8,33.6,25.3,5.7,23
Admiralty,2009,5,20,0,,,,29.5,33.4,26.3,6.8,25.2
Admiralty,2009,5,21,62.8,,,,28.5,33.1,24.3,7.2,45.4
Admiralty,2009,5,22,0,,,,29.5,34.2,25.2,5.6,27.7
Admiralty,2009,5,23,25.6,,,,27.8,32.7,24.1,7.4,38.2
Admiralty,2009,5,24,0,,,,29.3,34.2,25.5,6.6,25.2
Admiralty,2009,5,25,0,,,,30,34.7,26.4,7.5,31
Admiralty,2009,5,26,22.6,,,,27.1,31,24.5,7.5,65.9
Admiralty,2009,5,27,0,,,,29,33.1,25.6,5.3,21.2
Admiralty,2009,5,28,0.8,,,,28.8,33.1,27,7.2,44.3
Admiralty,2009,5,29,0,,,,28.5,33.5,26,6.4,28.4
Admiralty,2009,5,30,2.4,,,,28.3,32.4,23.9,7.8,55.8
Admiralty,2009,5,31,0,,,,29.2,33.6,25.9,9.5,33.5
Admiralty,2009,6,1,0,,,,29.9,34.2,26.5,7.8,23
Admiralty,2009,6,2,0.8,,,,30.4,34.6,27.8,6.1,24.1
Admiralty,2009,6,3,3.2,,,,28.2,31,24.3,7.8,38.9
Admiralty,2009,6,4,0,,,,28.4,31.8,24.8,7.2,43.9
Admiralty,2009,6,5,0,,,,30.2,33.8,27.8,7.1,30.6
Admiralty,2009,6,6,0,,,,30.3,34.2,27.8,5.9,23.8
Admiralty,2009,6,7,13.4,,,,27.6,32.4,24.7,5.6,55.1
Admiralty,2009,6,8,0,,,,29.1,33,25.6,6,29.2
Admiralty,2009,6,9,0,,,,30.1,33.7,27.6,5.1,23.8
Admiralty,2009,6,10,0,,,,30.6,34.6,27.8,6.2,23
Admiralty,2009,6,11,0,,,,30.1,34.7,26.6,7.1,27
Admiralty,2009,6,12,1.8,,,,28.6,34.3,25.9,7,40.3
Admiralty,2009,6,13,16.6,,,,27.6,31.6,23.7,6.5,41.4
Admiralty,2009,6,14,0,,,,28.4,32.4,24.8,5.6,28.1
Admiralty,2009,6,15,0,,,,28.6,31.6,26.1,7.2,37.8
Admiralty,2009,6,16,0,,,,28.8,31.3,26.8,6.5,28.8
Admiralty,2009,6,17,0,,,,30.3,33.9,27.9,6.6,26.3
Admiralty,2009,6,18,0,,,,30.2,34.2,27,7,29.9
Admiralty,2009,6,19,0,,,,29.8,32.9,27.7,6.3,32.4
Admiralty,2009,6,20,9.6,,,,29.3,33.7,25,6.5,45.7
Admiralty,2009,6,21,11,,,,28.4,33.2,25.8,5.1,27
Admiralty,2009,6,22,0.2,,,,28.4,31.8,25.6,5.2,21.6
Admiralty,2009,6,23,21.6,,,,27.8,32.4,25.6,5.2,28.1
Admiralty,2009,6,24,2.4,,,,26.1,27.7,25.2,7.5,36.7
Admiralty,2009,6,25,0,,,,28.8,33.2,25,6.8,21.2
Admiralty,2009,6,26,0,,,,28.8,34.1,25.9,5.4,28.1
Admiralty,2009,6,27,0,,,,27.8,32.3,24.7,5.9,37.8
Admiralty,2009,6,28,10.6,,,,28.2,32.1,25.6,4.8,34.2
Admiralty,2009,6,29,0.8,,,,27.5,32.2,24.4,7.3,30.2
Admiralty,2009,6,30,0,,,,28.6,33.2,24.5,6.8,27.7
Admiralty,2009,7,1,6.8,,,,28.3,32.4,25.8,5.7,32
Admiralty,2009,7,2,11.6,,,,27.1,32,23.9,5.3,56.9
Admiralty,2009,7,3,0,,,,28.7,32.9,24.7,5.4,30.6
Admiralty,2009,7,4,0,,,,29.5,33.7,27.2,7.8,44.3
Admiralty,2009,7,5,29.8,,,,26.6,31.6,23.4,7.4,34.9
Admiralty,2009,7,6,0,,,,26.4,30.1,23.8,6.4,35.3
Admiralty,2009,7,7,1.4,,,,27.1,31.4,24.6,4.8,36.4
Admiralty,2009,7,8,0.6,,,,27.2,32.3,24.4,5.3,36
Admiralty,2009,7,9,3.4,,,,27.6,33.6,25.5,4.8,26.3
Admiralty,2009,7,10,8,,,,27,31.8,24.7,5.9,40
Admiralty,2009,7,11,0,,,,27.3,31,25,10.2,47.5
Admiralty,2009,7,12,0,,,,27.5,30.4,24.4,10.9,45.7
Admiralty,2009,7,13,0,,,,28.9,32.1,26.4,7.4,35.6
Admiralty,2009,7,14,4.6,,,,28.9,31.9,26.9,6.9,27
Admiralty,2009,7,15,0.8,,,,27.3,30.2,22.5,5.7,50.4
Admiralty,2009,7,16,0,,,,29,31.6,27,6.8,34.9
Admiralty,2009,7,17,0,,,,29.3,32.1,27.6,6.3,31
Admiralty,2009,7,18,0.8,,,,28.9,32.5,27.4,5.8,27.4
Admiralty,2009,7,19,1.2,,,,28.2,31.6,26,6.3,32.8
Admiralty,2009,7,20,0,,,,29.5,33.7,26.7,5.6,26.3
Admiralty,2009,7,21,2,,,,29.8,33.5,27.5,7.5,28.8
Admiralty,2009,7,22,18.6,,,,26.6,29.1,22.5,6.5,50
Admiralty,2009,7,23,4,,,,29,32.9,25.3,6.1,29.9
Admiralty,2009,7,24,0.2,,,,27.2,29.2,23.8,6.7,47.5
Admiralty,2009,7,25,0,,,,28.9,32.2,26,5.6,25.9
